-66.777645 -25.948918 0.195
-66.414319 -26.446564 2.782
-67.324386 -25.836672 5.584
-66.780005 -25.947864 1.357
-66.711601 -26.0659 2.369
-67.324768 -25.836253 5.849
-67.323295 -25.837313 5.803
-67.162419 -25.679114 8.743
-66.777397 -25.948287 0.106
-67.324475 -25.836808 5.934
-66.779952 -25.948737 0.897
-66.780196 -25.948572 -0.139
-66.779443 -25.94891 0.618
-67.19672 -25.708636 5.008
-66.932495 -25.96331 2.421
-66.934163 -25.962948 2.688
-66.934827 -25.963196 2.483
-66.932515 -25.963788 2.18
-66.932161 -25.963928 2.386
-66.932186 -25.963745 2.274
-66.932296 -25.963871 2.25
-66.930815 -25.962929 2.727
-66.932393 -25.964187 2.145
-66.936584 -25.960716 2.819
-67.098132 -25.892039 7.361
-67.196082 -25.708978 4.945
-67.196765 -25.708311 4.937
-67.122668 -25.724644 7.118
-66.76969 -26.073783 1.701
-67.289722 -25.865531 9.944
-67.289832 -25.863796 10.252
-67.289343 -25.864305 10.445
-67.291695 -25.867379 9.427
-67.295768 -25.866606 9.297
-67.285986 -25.868886 9.499
-67.29198 -25.869232 9.223
-66.660018 -26.068852 0.829
-66.659208 -26.068534 0.256
-66.846521 -25.984591 1.727
-66.247839 -26.262126 0.116
-66.791817 -25.950702 0.333
-67.322323 -25.837109 5.804
-67.08973 -26.064199 0.453
-66.659599 -26.068819 0.187
-66.657458 -26.069883 -0.717
-67.087663 -26.063757 2.568
-67.322937 -25.837482 5.714
-66.661471 -26.066484 -0.517
-66.66025 -26.07121 0.151
-67.087573 -26.062384 5.041
-67.323291 -25.837168 5.743
-66.985657 -25.805406 1.668
-66.769332 -26.007033 1.761
-66.660815 -26.068219 0.13
-66.660413 -26.067918 0.26
-66.658223 -26.070221 0.995
-67.037321 -25.692306 7.336
-66.661446 -26.067603 0.361
-66.660661 -26.067767 0.008
-66.658358 -26.069427 -0.428
-66.784827 -25.9593 1.244
-67.322799 -25.836407 5.586
-67.323726 -25.836509 5.711
-67.323499 -25.836918 5.635
-67.323686 -25.836582 5.612
-67.324264 -25.836216 5.733
-67.323401 -25.835832 5.685
-67.323364 -25.836454 5.561
-67.323543 -25.836525 5.755
-67.32463 -25.836587 5.648
-67.324475 -25.836731 5.606
-66.757983 -25.948309 1.54
-66.757625 -25.948086 1.284
-66.662134 -26.067824 0.131
-67.323747 -25.837404 5.681
-66.784713 -25.959495 1.353
-67.324296 -25.837083 5.687
-67.323751 -25.837077 5.845
-67.322473 -25.837272 5.684
-67.322961 -25.83749 5.75
-66.785124 -25.959617 1.371
-67.013416 -25.865226 4.279
-67.076526 -25.751249 6.051
-66.658541 -26.068687 0.323
-66.788277 -25.961778 -0.388
-67.070532 -25.752108 6.04
-66.771659 -26.331108 5.68
-67.115544 -25.821617 7.607
-67.114913 -25.821541 7.61
-67.115474 -25.821446 7.514
-67.115653 -25.821482 7.569
-67.115788 -25.821385 7.442
-67.080721 -25.782564 5.531
-66.707011 -26.122518 3.282
-67.061121 -25.698372 7.406
-67.061316 -25.698462 7.325
-67.061711 -25.698612 7.213
-66.424898 -26.528927 6.154
-66.659338 -26.070502 1.706
-66.659603 -26.071159 0.708
-67.041264 -25.692942 7.568
-66.991606 -25.767759 0.987
-66.670837 -26.238285 -1.294
-67.054989 -25.81154 4.042
-66.975765 -25.805611 3.189
-66.979333 -25.804877 2.717
-66.658272 -26.070544 -0.241
-66.657239 -26.066675 0.056
-66.977799 -25.805166 2.835
-66.977649 -25.804281 2.748
-66.840369 -25.886131 2.114
-66.123494 -26.342265 12.926
-66.129867 -26.35048 12.435
-66.124849 -26.344232 9.76
-66.658679 -26.070964 -0.625
-66.660864 -26.069851 0.095
-66.971944 -25.763831 2.235
-66.729134 -25.942664 -2.087
-66.839852 -25.884715 1.717
-66.939689 -25.851705 10.057
-66.976941 -25.797463 2.782
-66.974963 -25.799152 2.983
-66.660824 -26.067979 0.281
-66.660673 -26.067537 0.211
-66.658598 -26.065063 1.865
-66.197693 -26.373002 6.406
-66.197595 -26.3704 0.009
-66.195976 -26.372426 5.225
-66.765674 -26.027138 1.911
-66.973633 -25.800332 3.455
-66.97745 -25.799556 3.019
-66.976591 -25.800366 2.953
-66.976912 -25.797249 2.272
-66.977063 -25.798737 2.831
-66.976831 -25.799056 3.127
-66.976953 -25.799717 2.76
-66.976221 -25.799239 2.977
-66.976896 -25.799276 2.767
-66.976603 -25.798897 2.786
-66.974137 -25.800267 3.254
-66.975244 -25.799288 2.984
-66.976831 -25.800993 3.162
-67.166528 -25.664535 5.653
-66.569499 -26.093734 0.677
-66.97843 -25.79918 2.921
-67.322408 -25.838206 5.439
-67.322852 -25.837638 5.832
-67.035274 -25.716123 6.388
-67.167558 -25.854606 7.418
-67.008525 -25.774164 0.519
-66.658634 -26.068626 1.512
-66.659005 -26.068744 0.422
-66.680534 -26.379844 0.184
-66.908354 -25.985714 3.49
-67.019751 -25.967523 4.326
-67.019157 -25.966923 4.373
-66.714787 -26.085659 1.369
-67.019381 -25.967857 4.18
-67.019946 -25.967818 4.125
-66.656335 -26.068852 -0.075
-66.658337 -26.069621 0.118
-66.659314 -26.070233 0.027
-66.200464 -26.34212 1.631
-67.167883 -25.854517 7.417
-66.616626 -26.304604 1.397
-67.305416 -25.841315 4.014
-66.661019 -26.069686 0.9
-66.662073 -26.07062 0.731
-66.661039 -26.069291 1.431
