-13.935	-171.72	1100
-13.612	-172.525	1858
-16.82	-179.97	1241
-17.32	179.4	522
-19.12	177.98	805
-2.38	147.35	270
-2.57	147.28	254
-3.03	147.78	-1300
-3.507	144.605	402
-3.608	144.588	365
-3.613	144.818	685
-3.994	144.963	240
-4.08	145.037	1807
-4.647	145.976	1839
-4.883	146.717	-5
-5.358	147.12	1280
-5.592	147.892	1335
-5.519	148.115	75
-5.414	148.094	992
-5.525	148.42	1330
-4.624	149.339	171
-4.687	149.511	368
-5.094	150.094	408
-5.141	150.038	1116
-5.3	150.07	565
-5.416	150.027	564
-5.466	150.509	796
-5.576	150.516	724
-5.5	150.942	610
-5.33	151.1	1148
-5.2	151.23	2248
-5.05	151.33	2334
-4.92	151.158	858
-4.271	152.203	688
-4.12	152.2	200
-8.95	148.15	1680
-9	148.37	1915
-9.08	148.33	1342
-9.2	149.07	1925
-9.549	149.151	493
-9.57	149.075	640
-9.358	150.246	220
-9.52	150.53	200
-9.62	150.88	500
-3.125	152.642	700
-4.08	153.65	450
-5.92	154.98	2715
-6.092	155.225	1544
-6.137	155.196	1855
-6.442	155.608	2210
-6.52	155.62	1887
-8.292	156.52	335
-8.75	157.03	-700
-8.841	157.16	-717
-8.991	157.979	-20
-8.92	158.03	-240
-9.35	159.73	1000
-9.13	159.82	485
-10.386	165.804	796
-13.67	167.67	411
-13.8	167.47	921
-14.281	167.514	729
-14.45	168.05	1028
-15.389	167.835	1496
-16.25	168.12	1334
-16.507	168.346	1413
-16.68	168.37	833
-16.829	168.536	-2
-16.992	168.592	216
-17.47	168.353	594
-18.754	169.238	817
-19.532	169.447	361
-20.2	169.78	852
-20.98	170.28	-80
-22.33	171.32	177
-22.4	172.05	297
-37.77	142.5	1011
-18.367	144.567	1020
13.43	94.28	710
12.278	93.858	354
5.448	95.658	1810
4.903	96.289	2785
4.769	96.821	2617
3.248	98.501	2181
3.17	98.392	2460
2.58	98.83	2157
1.556	99.255	1819
1.478	99.209	1862
0.686	99.539	2145
0.47	99.67	1983
0.079	99.98	2919
0.074	100.189	737
-0.38	100.474	2885
-0.39	100.331	2854
-0.979	100.681	2575
-1.697	101.264	3800
-2.414	101.728	2507
-3.247	102.239	2122
-3.38	102.37	2467
-3.522	102.615	1940
-4.016	103.121	3142
-4.257	103.306	2836
-4.871	103.925	1854
-5.107	104.317	1717
-5.25	104.27	1000
-5.334	104.59	849
-5.78	105.625	1281
-6.102	105.423	155
-6.343	105.978	1324
-6.268	106.05	1768
-6.75	106.675	1726
-6.716	106.733	2218
-6.786	106.983	3026
-7.162	107.4	2422
-6.77	107.6	2084
-7.32	107.73	2665
-7.245	107.709	2594
-7.143	107.841	2251
-6.77	107.95	1684
-7.25	108.058	2168
-7.208	108.07	2201
-6.895	108.408	3039
-7.242	109.208	3428
-7.2	109.879	2565
-7.302	109.996	3147
-7.384	110.07	3371
-7.18	110.33	2050
-7.362	110.4	1864
-7.454	110.44	3118
-7.54	110.446	2910
-6.62	110.88	1625
-7.625	111.192	3265
-7.808	111.758	2563
-7.935	112.314	1730
-7.92	112.45	2651
-7.733	112.575	3343
-7.616	112.62	1631
-8.108	112.922	3657
-7.942	112.95	2329
-7.981	113.341	1641
-7.97	113.57	3088
-8.119	114.056	3260
-8.058	114.242	2769
-7.85	114.37	1247
-8.283	115.133	2244
-8.242	115.375	1717
-8.343	115.508	2997
-8.42	116.47	3726
-8.25	118	2850
-8.2	119.07	1912
-8.724	119.986	1319
-8.62	120.52	2350
-8.875	120.95	2245
-8.73	120.98	1559
-8.817	121.191	2096
-8.891	121.641	618
-8.77	121.82	1639
-8.32	121.708	875
-8.676	122.455	1661
-8.542	122.775	1703
-8.365	122.833	1095
-8.342	123.258	1659
-8.274	123.508	1431
-8.55	123.38	1018
-8.532	123.573	583
-7.791	123.585	633
-8.508	124.13	862
-6.642	126.65	282
-7.125	128.675	868
-6.976	129.144	728
-6.73	129.5	781
-6.312	130.017	608
-5.543	130.303	257
-4.523	129.881	596
-0.162	121.601	404
0.75	124.42	1795
1.112	124.737	1785
1.358	124.792	1580
1.352	124.865	1299
1.454	125.031	1968
1.518	125.185	1334
2.3	125.37	725
2.781	125.407	1797
3.138	125.491	-5
3.689	125.447	1318
1.83	127.83	318
1.693	127.894	1229
1.63	127.67	1035
1.488	127.63	1325
1.38	127.53	1635
1.25	127.47	979
1.08	127.439	993
0.9	127.32	630
0.8	127.33	1715
0.658	127.4	1730
0.57	127.4	308
0.454	127.411	927
0.32	127.4	1357
0.07	127.42	422
-0.53	127.48	1030
-0.761	127.725	932
5.398	125.376	840
6.113	124.892	1824
6.37	125.07	2286
6.989	125.269	2938
7.382	126.047	1080
7.644	124.317	1818
7.691	124.507	2790
7.95	124.8	2824
7.877	125.068	646
8.22	123.63	2404
9.203	124.673	1552
9.25	123.17	1862
10.412	123.132	2435
10.65	123.25	1885
10.77	123.23	1510
10.285	125.218	912
10.882	124.888	860
11.523	124.535	1301
12.769	124.056	1535
13.05	123.958	1102
13.257	123.685	2462
13.32	123.6	1328
13.458	123.451	1138
13.658	123.38	1966
13.24	122.018	1157
14.07	121.48	2158
14.12	121.3	1090
14.002	120.993	311
14.42	121.27	743
15.13	120.35	1486
17.147	120.98	1865
17.32	121.1	2329
18.222	122.123	1133
