  Tue Oct 24 17:02:51 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_200807251715_p.inp
 200807251715
 Including emergent polarity picks
 Polarities/Errors:  P 031/00  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   60.13  124.23   -2.88       0.00  0.00  0.00
   61.12  122.81   -8.50       0.00  0.00  0.00
   63.05  121.70  -13.71       0.00  0.00  0.00
   65.82  121.04  -18.32       0.00  0.00  0.00
   64.34  126.31  -16.10       0.00  0.00  0.00
   69.30  120.89  -22.21       0.00  0.00  0.00
   67.48  125.90  -20.36       0.00  0.00  0.00
   73.33  121.23  -25.31       0.00  0.00  0.00
   71.25  126.01  -23.86       0.00  0.00  0.00
   77.80  121.99  -27.62       0.00  0.00  0.00
   82.56  123.06  -29.15       0.00  0.00  0.00
   90.00  300.00   30.00       0.00  0.00  0.00
   87.50  124.33  -29.91       0.00  0.00  0.00
   85.02  301.32   29.62       0.00  0.00  0.00
   80.15  302.50   28.48       0.00  0.00  0.00
   75.52  303.43   26.57       0.00  0.00  0.00
   71.25  303.99   23.86       0.00  0.00  0.00
   67.48  302.77  -11.15       0.00  0.00  0.00
   65.00  126.00   -0.00       0.00  0.00  0.00
   65.91  121.53   -6.88       0.00  0.00  0.00
   67.48  122.77  -11.15       0.00  0.00  0.00
   71.11  119.21  -16.69       0.00  0.00  0.00
   69.75  124.31  -14.97       0.00  0.00  0.00
   74.24  121.25  -19.66       0.00  0.00  0.00
   77.80  123.62  -21.99       0.00  0.00  0.00
   83.72  121.65  -24.25       0.00  0.00  0.00
   90.00  300.00   25.00       0.00  0.00  0.00
   87.89  124.53  -24.92       0.00  0.00  0.00
   85.79  302.92   24.67       0.00  0.00  0.00
   79.71  301.09   22.91       0.00  0.00  0.00
   75.97  303.60   20.91       0.00  0.00  0.00
   70.32  302.57   -3.62       0.00  0.00  0.00
   70.00  126.00   -0.00       0.00  0.00  0.00
   71.25  119.23   -7.10       0.00  0.00  0.00
   70.71  124.48   -5.38       0.00  0.00  0.00
   72.77  123.23  -10.31       0.00  0.00  0.00
   76.00  122.42  -14.43       0.00  0.00  0.00
   80.15  122.08  -17.50       0.00  0.00  0.00
   84.92  122.13  -19.37       0.00  0.00  0.00
   90.00  302.40   20.00       0.00  0.00  0.00
   84.92  302.67   19.37       0.00  0.00  0.00
   80.15  302.72   17.50       0.00  0.00  0.00
   76.00  302.38   14.43       0.00  0.00  0.00
   75.06  302.72   -1.34       0.00  0.00  0.00
   75.06  123.60    1.34       0.00  0.00  0.00
   75.52  121.86   -3.97       0.00  0.00  0.00
   77.76  120.38   -8.74       0.00  0.00  0.00
   77.05  125.45   -7.63       0.00  0.00  0.00
   81.46  119.34  -12.38       0.00  0.00  0.00
   80.42  124.29  -11.60       0.00  0.00  0.00
   84.92  123.58  -14.13       0.00  0.00  0.00
   90.00  303.16   15.00       0.00  0.00  0.00
   84.92  302.74   14.13       0.00  0.00  0.00
   80.42  302.03   11.60       0.00  0.00  0.00
   80.04  302.77    0.88       0.00  0.00  0.00
   80.61  124.13    3.45       0.00  0.00  0.00
   81.82  123.82   -5.78       0.00  0.00  0.00
   85.79  121.59   -9.08       0.00  0.00  0.00
   90.00  304.62   10.00       0.00  0.00  0.00
   85.02  302.69    8.68       0.00  0.00  0.00
   89.56  304.98   -4.98       0.00  0.00  0.00
   85.91  125.10    2.87       0.00  0.00  0.00
   85.47  124.92   -2.12       0.00  0.00  0.00
   89.56  124.98   -4.98       0.00  0.00  0.00
   90.00  305.00   -0.00       0.00  0.00  0.00
