          53 -3.63464355E-02           1          13           1
          82 -0.18659019               1           4           1
          98 -7.88011551E-02           1           9           1
         102 -9.93242264E-02           1          12           1
          87 -0.12995720               1           5           1
         125 -0.21752930               1          11           1
         151 -3.22475433E-02           1           6           1
         151 -1.42078400E-02           2           6           1
         160  0.26522064               1           8           1
         159  8.80355835E-02           1           7           1
         179  0.47996712               1           1           1
         308  9.45148468E-02           1           2           1
          91  9.45148468E-02           1           2           1
          75 -5.99575043E-03           1          13           2
          83 -7.20596313E-03           1           4           2
          92  0.10099125               1           9           2
          99 -2.48403549E-02           1          12           2
          97 -0.49064064               1           5           2
         151 -0.12654686               1           6           2
         159  0.19331741               1           8           2
         153 -3.10649872E-02           1           7           2
         181  0.26873016               1           1           2
         306  1.96495056E-02           1           2           2
         102  1.96495056E-02           1           2           2
          78  0.27933025               1          13           3
          78 -0.55346489               2          13           3
          84   1.4235368               1           4           3
         104 -0.77299309               1           5           3
         122 -0.22772121               1           6           3
         134  1.62401199E-02           1          15           3
         133  0.40081310               1           7           3
         164 -0.83048439               1          10           3
         140  6.05010986E-03           1           5           4
         144 -4.37927246E-02           1          12           4
         144  2.37083435E-03           1           1           4
         189  0.41954231               1           4           4
         180 -3.86276245E-02           1           8           4
         206  1.51252747E-03           1           7           4
         202 -0.16332817               1          11           4
         205 -9.86747742E-02           1           6           4
         201 -2.54898071E-02           1          13           4
         136  7.41748810E-02           1           4           5
         118 -3.80611420E-02           1          13           5
         108  2.21004486E-02           1           5           5
         154  1.73130035E-02           1          15           5
         141  0.17167664               1          11           5
         149  2.08721161E-02           1           8           5
         145 -0.11038780               1           6           5
         143 -0.12011909               1           7           5
         163 -1.79977417E-02           1           1           5
         256  8.74900818E-02           1           2           5
          45  8.74900818E-02           1           2           5
         157 -9.22946930E-02           1          10           5
         100 -0.65798759               1           5           6
         149 -0.42891121               1          15           6
         149 -0.48339081               2          15           6
         201  0.51232338               1           8           6
         217  0.74486732               1           7           6
         226  8.91647339E-02           2           6           6
         179 -3.27138901E-02           1          13           6
         248  0.60543251               1          10           6
         147  6.82754517E-02           1           5           7
         180 -0.64445019               1          12           7
         198  8.31012726E-02           1           1           7
         268  8.00819397E-02           1           7           7
         276 -1.72786713E-02           2           6           7
         262  0.61248016               1          10           7
         171 -3.68270874E-02           1          13           8
         171  0.24822617               2          13           8
         191 -0.29409027               1           4           8
         191 -0.37769890               2           4           8
         203  0.26377869               1           9           8
         208 -0.32410526               1          12           8
         208 -0.49950027               2          12           8
         221 -0.29539967               1          11           8
         221 -0.33975601               2          11           8
         236  0.56320953               2          15           8
         252 -0.15076447               1           6           8
         252  0.15230942               2           6           8
         265  4.92782593E-02           2           7           8
         279  0.84976578               1           1           8
         279  0.23206329               2           1           8
         221  0.11306000               1           5           9
         260 -6.30559921E-02           1          13           9
         300 -4.01878357E-02           1           9           9
         325  2.66628265E-02           1           4           9
         319 -4.46729660E-02           1          12           9
         339 -8.06808472E-02           1          15           9
         360  0.19375229               1          11           9
         389  3.93314362E-02           1           6           9
         409 -2.81944275E-02           1           1           9
         428 -8.44097137E-02           1          10           9
         588 -1.04598999E-02           1           2           9
          76 -1.04598999E-02           1           2           9
         426 -0.11925220               1           4          10
         466 -0.18772888               1          12          10
         455  8.75186920E-03           1          13          10
         480  1.84068680E-02           1           5          10
         541  9.05094147E-02           1           6          10
         548  0.60810471               1           7          10
         570 -0.11627197               1           1          10
         566 -0.12226677               1          10          10
         431 -4.56237793E-02           1          13          11
         438  3.97467613E-02           1           4          11
         447  0.35212517               1           9          11
         460 -0.82285690               1          12          11
         457 -7.02018738E-02           1          11          11
         488 -3.78046036E-02           1           6          11
         508 -2.42891312E-02           1           8          11
         509 -2.02836990E-02           1           7          11
         601  0.63855743               1           2          11
          78  0.63855743               1           2          11
         526  2.62660980E-02           1           1          11
         542  7.42797852E-02           1          10          11
         517  0.11178780               1          15          12
         528 -0.20379639               1          12          12
         528 -0.79630280               2          12          12
         485  0.11197281               1           1          12
         485  6.35604858E-02           2           1          12
         524 -9.24224854E-02           1           8          12
         524 -0.19818497               2           8          12
         517 -2.92968750E-02           1           4          12
         517  0.70962143               2           4          12
         529 -3.41987610E-02           1           7          12
         500  1.57546997E-03           1          10          12
         500  7.04040527E-02           2          10          12
         523 -6.68334961E-02           1           6          12
         523  7.05108643E-02           1          11          12
         631 -0.16180801               1           2          12
          48 -0.16180801               1           2          12
         507  0.18688965               1          13          12
         488 -0.75161552               1          11          13
         519  0.21568108               1           7          13
         537   1.1925144               1           4          13
         497 -6.77452087E-02           1          13          13
         569 -0.26489258               1          15          13
         592  0.11107445               1           5          13
         464  6.63757324E-04           1          13          14
         509  1.44214630E-02           1           5          14
         584 -4.54711914E-03           1          11          14
         601 -0.14459610               1          15          14
         626  0.23881912               1           6          14
         650 -7.52849579E-02           1           1          14
         659 -4.05158997E-02           1          10          14
         623  1.41696930E-02           1           4          14
         533 -0.20047593               1           9          15
         533 -0.17997122               2           9          15
         534 -4.29134369E-02           1          12          15
         534 -3.20940018E-02           2          12          15
         544 -7.26454258E-02           1           4          15
         544 -0.23611164               2           4          15
         544  0.38270807               1           8          15
         552  9.09829140E-02           1           7          15
         552  3.43017578E-02           2           7          15
         569  9.45310593E-02           1           6          15
         569  4.89711761E-03           2           6          15
         575 -0.21769953               1           1          15
         575 -0.43393993               2           1          15
         533 -0.20681810               1           1          16
         533 -0.45762157               2           1          16
         540  0.33209038               1          15          16
         540  0.42177773               2          15          16
         557  5.97248077E-02           1          12          16
         557 -7.41243362E-02           2          12          16
