  Mon Oct 23 17:41:34 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_200804162045_p.inp
 200804162045
 Including emergent polarity picks
 Polarities/Errors:  P 038/00  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   25.00  155.00   90.00       0.00  0.00  0.00
   20.00  160.00   90.00       0.00  0.00  0.00
   25.00  160.00   90.00       0.00  0.00  0.00
   20.00  165.00   90.00       0.00  0.00  0.00
   25.00  165.00   90.00       0.00  0.00  0.00
   30.00  165.00   90.00       0.00  0.00  0.00
   20.00  170.00   90.00       0.00  0.00  0.00
   25.00  170.00   90.00       0.00  0.00  0.00
   30.00  170.00   90.00       0.00  0.00  0.00
   30.00  175.00   90.00       0.00  0.00  0.00
   55.15  356.51   83.90       0.00  0.00  0.00
   25.46  154.41   78.30       0.00  0.00  0.00
   25.46  159.41   78.30       0.00  0.00  0.00
   65.10  322.67   84.49       0.00  0.00  0.00
   70.08  323.18   84.68       0.00  0.00  0.00
   65.10  327.67   84.49       0.00  0.00  0.00
   70.08  328.18   84.68       0.00  0.00  0.00
   60.13  332.12   84.23       0.00  0.00  0.00
   65.10  332.67   84.49       0.00  0.00  0.00
   70.08  333.18   84.68       0.00  0.00  0.00
   60.13  337.12   84.23       0.00  0.00  0.00
   65.10  337.67   84.49       0.00  0.00  0.00
   70.08  338.18   84.68       0.00  0.00  0.00
   60.13  342.12   84.23       0.00  0.00  0.00
   65.10  342.67   84.49       0.00  0.00  0.00
   70.08  343.18   84.68       0.00  0.00  0.00
   60.13  347.12   84.23       0.00  0.00  0.00
   65.10  347.67   84.49       0.00  0.00  0.00
   70.08  348.18   84.68       0.00  0.00  0.00
   55.15  351.51   83.90       0.00  0.00  0.00
   60.13  352.12   84.23       0.00  0.00  0.00
   65.10  352.67   84.49       0.00  0.00  0.00
   50.73  351.71   77.04       0.00  0.00  0.00
   55.61  353.07   77.85       0.00  0.00  0.00
   60.50  354.27   78.49       0.00  0.00  0.00
   50.73  356.78   77.04       0.00  0.00  0.00
   65.41  319.88   78.99       0.00  0.00  0.00
   70.32  320.89   79.37       0.00  0.00  0.00
   75.23  321.84   79.65       0.00  0.00  0.00
   65.41  324.95   78.99       0.00  0.00  0.00
   70.32  325.96   79.37       0.00  0.00  0.00
   60.50  328.92   78.49       0.00  0.00  0.00
   65.41  330.02   78.99       0.00  0.00  0.00
   70.32  331.03   79.37       0.00  0.00  0.00
   60.50  333.99   78.49       0.00  0.00  0.00
   65.41  335.09   78.99       0.00  0.00  0.00
   70.32  336.10   79.37       0.00  0.00  0.00
   60.50  339.06   78.49       0.00  0.00  0.00
   65.41  340.16   78.99       0.00  0.00  0.00
   55.61  342.93   77.85       0.00  0.00  0.00
   60.50  344.13   78.49       0.00  0.00  0.00
   65.41  345.23   78.99       0.00  0.00  0.00
   55.61  348.00   77.85       0.00  0.00  0.00
   60.50  349.20   78.49       0.00  0.00  0.00
   51.62  347.75   70.72       0.00  0.00  0.00
   56.36  349.73   71.89       0.00  0.00  0.00
   46.92  350.63   69.25       0.00  0.00  0.00
   51.62  352.89   70.72       0.00  0.00  0.00
   70.71  318.62   74.08       0.00  0.00  0.00
   61.12  320.64   72.81       0.00  0.00  0.00
   65.91  322.26   73.53       0.00  0.00  0.00
   70.71  323.76   74.08       0.00  0.00  0.00
   61.12  325.79   72.81       0.00  0.00  0.00
   65.91  327.40   73.53       0.00  0.00  0.00
   70.71  328.90   74.08       0.00  0.00  0.00
   61.12  330.93   72.81       0.00  0.00  0.00
   65.91  332.55   73.53       0.00  0.00  0.00
   56.36  334.30   71.89       0.00  0.00  0.00
   61.12  336.07   72.81       0.00  0.00  0.00
   65.91  337.69   73.53       0.00  0.00  0.00
   56.36  339.44   71.89       0.00  0.00  0.00
   61.12  341.22   72.81       0.00  0.00  0.00
   51.62  342.60   70.72       0.00  0.00  0.00
   56.36  344.59   71.89       0.00  0.00  0.00
   61.12  346.36   72.81       0.00  0.00  0.00
   48.36  341.12   62.76       0.00  0.00  0.00
   52.84  343.99   64.59       0.00  0.00  0.00
   66.60  319.17   68.12       0.00  0.00  0.00
   71.25  321.14   68.83       0.00  0.00  0.00
   61.98  322.36   67.20       0.00  0.00  0.00
   66.60  324.47   68.12       0.00  0.00  0.00
   61.98  327.65   67.20       0.00  0.00  0.00
   66.60  329.76   68.12       0.00  0.00  0.00
   57.39  330.65   66.04       0.00  0.00  0.00
   61.98  332.95   67.20       0.00  0.00  0.00
   57.39  335.94   66.04       0.00  0.00  0.00
   61.98  338.24   67.20       0.00  0.00  0.00
   52.84  338.69   64.59       0.00  0.00  0.00
   57.39  341.24   66.04       0.00  0.00  0.00
   71.94  318.02   63.61       0.00  0.00  0.00
   63.05  318.60   61.70       0.00  0.00  0.00
   67.48  321.16   62.77       0.00  0.00  0.00
   63.05  324.13   61.70       0.00  0.00  0.00
   67.48  326.70   62.77       0.00  0.00  0.00
   58.68  326.90   60.35       0.00  0.00  0.00
   63.05  329.67   61.70       0.00  0.00  0.00
   54.37  329.40   58.67       0.00  0.00  0.00
   58.68  332.44   60.35       0.00  0.00  0.00
   54.37  334.94   58.67       0.00  0.00  0.00
   68.53  317.84   57.50       0.00  0.00  0.00
