  Wed Oct 18 15:21:31 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_200809270437_p.inp
 200809270437
 Including emergent polarity picks
 Polarities/Errors:  P 051/01  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   65.91  322.26   73.53       1.00  0.00  0.00
   39.67  148.67   57.60       1.00  0.00  0.00
   71.25  321.14   68.83       0.00  0.00  0.00
   75.92  323.00   69.35       1.00  0.00  0.00
   57.39  320.06   66.04       1.00  0.00  0.00
   61.98  322.36   67.20       1.00  0.00  0.00
   66.60  324.47   68.12       1.00  0.00  0.00
   71.25  326.43   68.83       1.00  0.00  0.00
   57.39  325.36   66.04       1.00  0.00  0.00
   61.98  327.65   67.20       1.00  0.00  0.00
   76.43  320.31   64.23       1.00  0.00  0.00
   67.48  321.16   62.77       1.00  0.00  0.00
   71.94  323.56   63.61       1.00  0.00  0.00
   63.05  324.13   61.70       1.00  0.00  0.00
   58.68  326.90   60.35       1.00  0.00  0.00
