  Mon Oct 23 13:29:17 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_200810020116_p.inp
 200810020116
 Including emergent polarity picks
 Polarities/Errors:  P 034/00  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
    5.00  105.00   -0.00       0.00  0.00  0.00
   90.00  270.00   85.00       0.00  0.00  0.00
   90.00  275.00   85.00       0.00  0.00  0.00
   10.00  102.68   -0.00       0.00  0.00  0.00
   10.00  107.75   -0.00       0.00  0.00  0.00
   90.00  273.80   80.00       0.00  0.00  0.00
   90.00  278.87   80.00       0.00  0.00  0.00
   90.00  283.94   80.00       0.00  0.00  0.00
   15.00  105.43   -0.00       0.00  0.00  0.00
   15.00  110.57   -0.00       0.00  0.00  0.00
   15.79   91.89  -18.02       0.00  0.00  0.00
   85.17   88.73  -74.95       0.00  0.00  0.00
   90.00  277.71   75.00       0.00  0.00  0.00
   90.00  282.86   75.00       0.00  0.00  0.00
   90.00  288.00   75.00       0.00  0.00  0.00
   20.00  105.88   -0.00       0.00  0.00  0.00
   20.59   91.53  -13.47       0.00  0.00  0.00
   20.00  111.18   -0.00       0.00  0.00  0.00
   20.59   96.83  -13.47       0.00  0.00  0.00
   85.30   86.42  -69.93       0.00  0.00  0.00
   85.30   91.71  -69.93       0.00  0.00  0.00
   90.00  280.59   70.00       0.00  0.00  0.00
   90.00  285.88   70.00       0.00  0.00  0.00
   25.00  103.85   -0.00       0.00  0.00  0.00
   25.00  109.38   -0.00       0.00  0.00  0.00
   25.46   97.69  -10.59       0.00  0.00  0.00
   26.81   92.28  -20.42       0.00  0.00  0.00
   80.95   84.57  -64.66       0.00  0.00  0.00
   80.95   90.11  -64.66       0.00  0.00  0.00
   85.47   93.50  -64.92       0.00  0.00  0.00
   85.47   99.04  -64.92       0.00  0.00  0.00
   90.00  282.46   65.00       0.00  0.00  0.00
   90.00  288.00   65.00       0.00  0.00  0.00
   72.77  265.80  -58.43       0.00  0.00  0.00
   77.05  268.92  -59.13       0.00  0.00  0.00
   81.35  272.14  -59.62       0.00  0.00  0.00
   30.38  111.54    8.58       0.00  0.00  0.00
   30.00  107.42   -0.00       0.00  0.00  0.00
   31.47   87.99  -16.74       0.00  0.00  0.00
   30.38   97.49   -8.58       0.00  0.00  0.00
   31.47   93.80  -16.74       0.00  0.00  0.00
   30.38  103.30   -8.58       0.00  0.00  0.00
   33.23   90.85  -24.15       0.00  0.00  0.00
   81.35   86.33  -59.62       0.00  0.00  0.00
   77.05   88.92  -59.13       0.00  0.00  0.00
   81.35   92.14  -59.62       0.00  0.00  0.00
   85.67   95.41  -59.91       0.00  0.00  0.00
   85.67  101.21  -59.91       0.00  0.00  0.00
   90.00  284.52   60.00       0.00  0.00  0.00
   85.67  287.82   59.91       0.00  0.00  0.00
   65.82  265.44  -51.04       0.00  0.00  0.00
   69.75  268.19  -52.31       0.00  0.00  0.00
   73.73  271.11  -53.31       0.00  0.00  0.00
   77.76  274.16  -54.06       0.00  0.00  0.00
   81.82  277.30  -54.59       0.00  0.00  0.00
   85.91  280.50  -54.90       0.00  0.00  0.00
   85.91  286.60  -54.90       0.00  0.00  0.00
   90.00  109.83   55.00       0.00  0.00  0.00
   35.00  105.25   -0.00       0.00  0.00  0.00
   35.00  111.36   -0.00       0.00  0.00  0.00
   37.70   86.32  -20.29       0.00  0.00  0.00
   36.22   94.27  -13.93       0.00  0.00  0.00
   35.31  102.68   -7.10       0.00  0.00  0.00
   37.70   92.42  -20.29       0.00  0.00  0.00
   36.22  100.37  -13.93       0.00  0.00  0.00
   39.67   91.16  -26.03       0.00  0.00  0.00
   69.75   85.14  -52.31       0.00  0.00  0.00
   77.76   85.01  -54.06       0.00  0.00  0.00
   73.73   88.06  -53.31       0.00  0.00  0.00
   77.76   91.11  -54.06       0.00  0.00  0.00
   81.82   94.25  -54.59       0.00  0.00  0.00
   85.91   97.45  -54.90       0.00  0.00  0.00
   90.00  280.68   55.00       0.00  0.00  0.00
   85.91  103.55  -54.90       0.00  0.00  0.00
   90.00  286.78   55.00       0.00  0.00  0.00
   40.00  283.09   -0.00       0.00  0.00  0.00
   40.26  281.89   -5.93       0.00  0.00  0.00
   41.03  280.84  -11.69       0.00  0.00  0.00
   46.03  273.31  -26.73       0.00  0.00  0.00
   60.50  267.25  -42.39       0.00  0.00  0.00
   67.48  265.82  -45.90       0.00  0.00  0.00
   63.94  269.69  -44.31       0.00  0.00  0.00
   71.11  268.69  -47.21       0.00  0.00  0.00
   74.81  271.71  -48.24       0.00  0.00  0.00
   78.56  274.86  -49.02       0.00  0.00  0.00
   82.36  278.10  -49.57       0.00  0.00  0.00
   86.17  281.40  -49.89       0.00  0.00  0.00
   82.36  284.65  -49.57       0.00  0.00  0.00
   86.17  287.95  -49.89       0.00  0.00  0.00
   40.26  107.57    5.93       0.00  0.00  0.00
   40.00  106.36   -0.00       0.00  0.00  0.00
   40.26   98.61   -5.93       0.00  0.00  0.00
   42.27   90.28  -17.14       0.00  0.00  0.00
   41.03   97.57  -11.69       0.00  0.00  0.00
   40.26  105.16   -5.93       0.00  0.00  0.00
   43.96   89.93  -22.18       0.00  0.00  0.00
   42.27   96.83  -17.14       0.00  0.00  0.00
   46.03   90.04  -26.73       0.00  0.00  0.00
   54.07   86.54  -37.45       0.00  0.00  0.00
   63.94   86.41  -44.31       0.00  0.00  0.00
   71.11   85.41  -47.21       0.00  0.00  0.00
   67.48   89.09  -45.90       0.00  0.00  0.00
   74.81   88.44  -48.24       0.00  0.00  0.00
   71.11   91.96  -47.21       0.00  0.00  0.00
   78.56   91.59  -49.02       0.00  0.00  0.00
   82.36   94.83  -49.57       0.00  0.00  0.00
   78.56   98.14  -49.02       0.00  0.00  0.00
   86.17   98.13  -49.89       0.00  0.00  0.00
   82.36  101.38  -49.57       0.00  0.00  0.00
   90.00  281.45   50.00       0.00  0.00  0.00
   86.17  104.67  -49.89       0.00  0.00  0.00
   90.00  288.00   50.00       0.00  0.00  0.00
   45.00  284.12   -0.00       0.00  0.00  0.00
   45.86  277.17   -9.85       0.00  0.00  0.00
   45.22  284.12   -4.98       0.00  0.00  0.00
   48.36  271.00  -18.88       0.00  0.00  0.00
   46.92  277.48  -14.51       0.00  0.00  0.00
   45.86  284.23   -9.85       0.00  0.00  0.00
   50.14  271.89  -22.91       0.00  0.00  0.00
   48.36  278.06  -18.88       0.00  0.00  0.00
   54.60  267.63  -29.84       0.00  0.00  0.00
   52.24  273.12  -26.57       0.00  0.00  0.00
   57.20  269.53  -32.73       0.00  0.00  0.00
   62.97  267.15  -37.45       0.00  0.00  0.00
   60.00  271.73  -35.26       0.00  0.00  0.00
   66.07  269.87  -39.32       0.00  0.00  0.00
   69.30  272.80  -40.89       0.00  0.00  0.00
   76.00  272.08  -43.22       0.00  0.00  0.00
   72.61  275.90  -42.19       0.00  0.00  0.00
   79.45  275.43  -44.01       0.00  0.00  0.00
   76.00  279.14  -43.22       0.00  0.00  0.00
   82.95  278.87  -44.56       0.00  0.00  0.00
   79.45  282.49  -44.01       0.00  0.00  0.00
   86.47  282.36  -44.89       0.00  0.00  0.00
   82.95  285.93  -44.56       0.00  0.00  0.00
   90.00  105.88   45.00       0.00  0.00  0.00
   86.47  289.42  -44.89       0.00  0.00  0.00
   86.47  109.40   44.89       0.00  0.00  0.00
   45.22  107.64    4.98       0.00  0.00  0.00
   45.00  107.65   -0.00       0.00  0.00  0.00
