  Wed Oct 18 16:01:37 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_200811082033_p.inp
 200811082033
 Including emergent polarity picks
 Polarities/Errors:  P 036/00  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   66.60  356.23   68.12       0.00  0.00  0.00
   67.48  348.85   62.77       0.00  0.00  0.00
   63.05  357.36   61.70       0.00  0.00  0.00
   68.53  346.88   57.50       0.00  0.00  0.00
   64.34  349.70   56.31       0.00  0.00  0.00
   33.23  350.44   24.15       0.00  0.00  0.00
   31.47  347.49   16.74       0.00  0.00  0.00
   69.75  345.03   52.31       0.00  0.00  0.00
   65.82  347.78   51.04       0.00  0.00  0.00
   61.98  350.32   49.48       0.00  0.00  0.00
   58.23  352.60   47.57       0.00  0.00  0.00
   54.60  354.57   45.28       0.00  0.00  0.00
   51.13  356.15   42.55       0.00  0.00  0.00
   42.06  351.82   31.11       0.00  0.00  0.00
   39.67  351.21   26.03       0.00  0.00  0.00
   36.22  342.00   13.93       0.00  0.00  0.00
   37.70  349.96   20.29       0.00  0.00  0.00
   67.48  346.18   45.90       0.00  0.00  0.00
   63.94  348.86   44.31       0.00  0.00  0.00
   60.50  351.30   42.39       0.00  0.00  0.00
   54.07  348.73   37.45       0.00  0.00  0.00
   51.13  350.18   34.36       0.00  0.00  0.00
   48.44  351.20   30.79       0.00  0.00  0.00
   43.96  345.34   22.18       0.00  0.00  0.00
   46.03  351.78   26.73       0.00  0.00  0.00
   42.27  344.99   17.14       0.00  0.00  0.00
   40.26  336.66    5.93       0.00  0.00  0.00
   62.97  343.44   37.45       0.00  0.00  0.00
   60.00  345.91   35.26       0.00  0.00  0.00
   57.20  348.11   32.73       0.00  0.00  0.00
   52.24  344.53   26.57       0.00  0.00  0.00
   54.60  350.01   29.84       0.00  0.00  0.00
   50.14  345.76   22.91       0.00  0.00  0.00
   46.92  340.17   14.51       0.00  0.00  0.00
   48.36  346.65   18.88       0.00  0.00  0.00
   65.60  342.92   32.73       0.00  0.00  0.00
   60.50  341.08   28.34       0.00  0.00  0.00
   58.23  343.73   25.70       0.00  0.00  0.00
   54.37  340.46   19.53       0.00  0.00  0.00
   56.17  346.13   22.76       0.00  0.00  0.00
   52.84  342.37   16.01       0.00  0.00  0.00
   63.94  342.03   24.23       0.00  0.00  0.00
   60.22  340.30   19.30       0.00  0.00  0.00
