  Mon Oct 16 13:15:46 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_200905151647_p.inp
 200905151647
 Including emergent polarity picks
 Polarities/Errors:  P 027/02  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   80.04   60.88  -84.92       2.00  0.00  0.00
   75.06   61.34  -84.82       2.00  0.00  0.00
   70.08   61.82  -84.68       2.00  0.00  0.00
   80.04   65.88  -84.92       2.00  0.00  0.00
   75.06   66.34  -84.82       2.00  0.00  0.00
   75.23   60.97  -79.65       2.00  0.00  0.00
   70.32   61.93  -79.37       2.00  0.00  0.00
   65.41   62.94  -78.99       2.00  0.00  0.00
   80.15   65.13  -79.85       2.00  0.00  0.00
   75.23   66.04  -79.65       2.00  0.00  0.00
