  Wed Oct 25 13:31:08 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_200805291819_p.inp
 200805291819
 Including emergent polarity picks
 Polarities/Errors:  P 025/00  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   75.92  317.70   69.35       0.00  0.00  0.00
   71.94  318.02   63.61       0.00  0.00  0.00
   72.77  314.85   58.43       0.00  0.00  0.00
   68.53  317.84   57.50       0.00  0.00  0.00
   36.22  305.39   13.93       0.00  0.00  0.00
   35.00  306.61   -0.00       0.00  0.00  0.00
   69.75  314.52   52.31       0.00  0.00  0.00
   73.73  317.70   53.31       0.00  0.00  0.00
   65.82  317.27   51.04       0.00  0.00  0.00
   46.03  312.50   26.73       0.00  0.00  0.00
   40.00  309.27   -0.00       0.00  0.00  0.00
   78.56  140.77   49.02       0.00  0.00  0.00
   71.11  317.13   47.21       0.00  0.00  0.00
   63.94  316.13   44.31       0.00  0.00  0.00
   57.20  314.18   40.12       0.00  0.00  0.00
   54.60  314.72   29.84       0.00  0.00  0.00
   50.14  310.46   22.91       0.00  0.00  0.00
   48.36  311.35   18.88       0.00  0.00  0.00
   46.92  311.93   14.51       0.00  0.00  0.00
   45.86  312.24    9.85       0.00  0.00  0.00
   45.22  312.35    4.98       0.00  0.00  0.00
   76.00  140.86   43.22       0.00  0.00  0.00
   69.30  316.62   40.89       0.00  0.00  0.00
   62.97  315.20   37.45       0.00  0.00  0.00
   57.20  312.82   32.73       0.00  0.00  0.00
   58.23  312.43   25.70       0.00  0.00  0.00
   56.17  314.83   22.76       0.00  0.00  0.00
   52.84  311.07   16.01       0.00  0.00  0.00
   51.62  312.76   12.25       0.00  0.00  0.00
   77.30  140.94   38.26       0.00  0.00  0.00
   68.37  316.14   34.50       0.00  0.00  0.00
   62.97  314.72   30.68       0.00  0.00  0.00
   63.94  315.69   24.23       0.00  0.00  0.00
   60.22  313.96   19.30       0.00  0.00  0.00
   56.36  314.45   10.27       0.00  0.00  0.00
   55.15  311.22    3.49       0.00  0.00  0.00
   73.33  141.52   31.23       0.00  0.00  0.00
   68.37  316.72   28.21       0.00  0.00  0.00
   67.48  314.10   20.36       0.00  0.00  0.00
   64.34  313.69   16.10       0.00  0.00  0.00
   61.98  312.80   11.17       0.00  0.00  0.00
   77.80  140.38   21.99       0.00  0.00  0.00
