  Tue Oct 24 17:12:45 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_200805291353_p.inp
 200805291353
 Including emergent polarity picks
 Polarities/Errors:  P 033/00  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   82.36  121.01  -49.57       0.00  0.00  0.00
   79.45  120.14  -44.01       0.00  0.00  0.00
   82.95  123.58  -44.56       0.00  0.00  0.00
   86.47  127.07  -44.89       0.00  0.00  0.00
   90.00  310.59   45.00       0.00  0.00  0.00
   50.73  314.27    8.29       0.00  0.00  0.00
   90.00  125.22   40.00       0.00  0.00  0.00
   52.84  119.37  -16.01       0.00  0.00  0.00
   54.37  121.28  -19.53       0.00  0.00  0.00
   58.23  118.01  -25.70       0.00  0.00  0.00
   60.50  120.65  -28.34       0.00  0.00  0.00
   65.60  118.82  -32.73       0.00  0.00  0.00
   68.37  122.12  -34.50       0.00  0.00  0.00
   74.24  121.40  -37.25       0.00  0.00  0.00
   80.42  121.16  -39.03       0.00  0.00  0.00
   77.30  125.14  -38.26       0.00  0.00  0.00
   83.59  125.08  -39.57       0.00  0.00  0.00
   86.79  129.05  -39.89       0.00  0.00  0.00
   56.36  314.45   10.27       0.00  0.00  0.00
   55.15  311.22    3.49       0.00  0.00  0.00
   87.13  127.61   34.90       0.00  0.00  0.00
   60.22  120.68  -19.30       0.00  0.00  0.00
   63.94  118.95  -24.23       0.00  0.00  0.00
   66.07  122.74  -26.34       0.00  0.00  0.00
   70.79  122.03  -29.84       0.00  0.00  0.00
   75.97  121.88  -32.40       0.00  0.00  0.00
   73.33  126.29  -31.23       0.00  0.00  0.00
   81.46  122.14  -34.07       0.00  0.00  0.00
   78.69  126.36  -33.34       0.00  0.00  0.00
   84.28  126.76  -34.59       0.00  0.00  0.00
   90.00  307.32   35.00       0.00  0.00  0.00
   64.34  313.69   16.10       0.00  0.00  0.00
   61.98  312.80   11.17       0.00  0.00  0.00
   60.50  311.51    5.73       0.00  0.00  0.00
   60.00  310.00   -0.00       0.00  0.00  0.00
   60.50  308.49   -5.73       0.00  0.00  0.00
   87.50  304.33  -29.91       0.00  0.00  0.00
   61.12  122.81   -8.50       0.00  0.00  0.00
   63.05  121.70  -13.71       0.00  0.00  0.00
   65.82  121.04  -18.32       0.00  0.00  0.00
   69.30  120.89  -22.21       0.00  0.00  0.00
   73.33  121.23  -25.31       0.00  0.00  0.00
   71.25  126.01  -23.86       0.00  0.00  0.00
   77.80  121.99  -27.62       0.00  0.00  0.00
   75.52  126.57  -26.57       0.00  0.00  0.00
   82.56  123.06  -29.15       0.00  0.00  0.00
   80.15  127.50  -28.48       0.00  0.00  0.00
   85.02  128.68  -29.62       0.00  0.00  0.00
   90.00  310.00   30.00       0.00  0.00  0.00
   85.02  311.32   29.62       0.00  0.00  0.00
   80.15  312.50   28.48       0.00  0.00  0.00
   71.11  312.79   16.69       0.00  0.00  0.00
   68.53  314.50   13.12       0.00  0.00  0.00
   65.91  310.47    6.88       0.00  0.00  0.00
   66.60  315.88    9.06       0.00  0.00  0.00
   65.10  311.51    2.33       0.00  0.00  0.00
   87.89  304.53  -24.92       0.00  0.00  0.00
   87.89  127.47   24.92       0.00  0.00  0.00
   67.48  122.77  -11.15       0.00  0.00  0.00
   69.75  124.31  -14.97       0.00  0.00  0.00
   74.24  121.25  -19.66       0.00  0.00  0.00
   72.61  126.19  -18.25       0.00  0.00  0.00
   77.80  123.62  -21.99       0.00  0.00  0.00
   81.69  126.26  -23.66       0.00  0.00  0.00
   85.79  129.08  -24.67       0.00  0.00  0.00
   83.72  310.35   24.25       0.00  0.00  0.00
   79.71  313.09   22.91       0.00  0.00  0.00
   74.81  311.76   13.17       0.00  0.00  0.00
   71.94  310.79    8.74       0.00  0.00  0.00
   70.32  309.43    3.62       0.00  0.00  0.00
   70.71  314.72    5.38       0.00  0.00  0.00
   70.08  307.88   -1.82       0.00  0.00  0.00
   71.25  306.43   -7.10       0.00  0.00  0.00
   73.73  305.31  -11.79       0.00  0.00  0.00
   77.30  304.66  -15.58       0.00  0.00  0.00
   81.69  304.46  -18.26       0.00  0.00  0.00
   86.60  304.61  -19.72       0.00  0.00  0.00
   84.92  129.87   19.37       0.00  0.00  0.00
   70.71  124.48   -5.38       0.00  0.00  0.00
   74.81  127.44  -13.17       0.00  0.00  0.00
   78.69  126.94  -16.60       0.00  0.00  0.00
   83.28  126.88  -18.88       0.00  0.00  0.00
   88.29  127.10  -19.93       0.00  0.00  0.00
   83.28  312.32   18.88       0.00  0.00  0.00
   78.69  312.26   16.60       0.00  0.00  0.00
   78.56  310.98    9.77       0.00  0.00  0.00
   75.92  309.59    5.24       0.00  0.00  0.00
   75.00  307.89   -0.00       0.00  0.00  0.00
   75.06  313.07    1.34       0.00  0.00  0.00
   75.92  306.20   -5.24       0.00  0.00  0.00
   78.56  304.81   -9.77       0.00  0.00  0.00
   81.46  308.81  -12.38       0.00  0.00  0.00
   86.16  308.20  -14.51       0.00  0.00  0.00
   88.71  127.80   14.95       0.00  0.00  0.00
   83.72  127.33   13.65       0.00  0.00  0.00
   75.23  127.02   -2.66       0.00  0.00  0.00
   77.05  125.45   -7.63       0.00  0.00  0.00
   83.72  128.46  -13.65       0.00  0.00  0.00
   88.71  127.99  -14.95       0.00  0.00  0.00
   86.16  307.59   14.51       0.00  0.00  0.00
   82.56  311.91   13.06       0.00  0.00  0.00
   82.36  310.43    6.47       0.00  0.00  0.00
   80.15  307.84    1.75       0.00  0.00  0.00
   80.34  312.91    2.61       0.00  0.00  0.00
   80.34  310.16   -2.61       0.00  0.00  0.00
   82.95  307.64   -7.11       0.00  0.00  0.00
   87.42  305.55   -9.67       0.00  0.00  0.00
   86.60  310.49   -9.41       0.00  0.00  0.00
   88.27  128.61    9.85       0.00  0.00  0.00
   80.04  126.46   -0.88       0.00  0.00  0.00
   81.35  128.85   -5.04       0.00  0.00  0.00
   85.02  126.54   -8.68       0.00  0.00  0.00
   89.13  129.54   -9.96       0.00  0.00  0.00
   85.79  307.64    9.08       0.00  0.00  0.00
   86.17  310.11    3.22       0.00  0.00  0.00
   85.30  309.93   -1.71       0.00  0.00  0.00
   89.13  309.96   -4.92       0.00  0.00  0.00
   86.17  130.11    3.22       0.00  0.00  0.00
   85.30  129.93   -1.71       0.00  0.00  0.00
   89.13  129.96   -4.92       0.00  0.00  0.00
   90.00  310.00   -0.00       0.00  0.00  0.00
