  Tue Oct 17 13:37:11 2023 for program Focmec
 Event 8703270729 1.75 relative weighted errors
 Input from a file puna_200903262123_p.inp
 200903262123
 Including emergent polarity picks
 Polarities/Errors:  P 042/ 0.2  SV 000/ 0.0  SH 000/ 0.0
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   58.23  321.63  -47.57       0.13  0.00  0.00
   54.07  322.18  -37.45       0.12  0.00  0.00
   57.20  324.01  -40.12       0.04  0.00  0.00
   60.50  326.16  -42.39       0.04  0.00  0.00
   63.94  328.60  -44.31       0.11  0.00  0.00
   54.60  324.10  -29.84       0.10  0.00  0.00
   57.20  326.00  -32.73       0.06  0.00  0.00
   62.97  323.62  -37.45       0.13  0.00  0.00
   60.00  328.21  -35.26       0.01  0.00  0.00
   66.07  326.34  -39.32       0.14  0.00  0.00
   62.97  330.68  -37.45       0.02  0.00  0.00
   66.07  333.40  -39.32       0.11  0.00  0.00
   56.17  326.91  -22.76       0.10  0.00  0.00
   60.50  324.13  -28.34       0.10  0.00  0.00
   58.23  329.31  -25.70       0.06  0.00  0.00
   62.97  327.02  -30.68       0.01  0.00  0.00
   60.50  331.96  -28.34       0.10  0.00  0.00
   65.60  330.12  -32.73       0.00  0.00  0.00
   62.97  334.85  -30.68       0.14  0.00  0.00
   68.37  333.43  -34.50       0.09  0.00  0.00
   58.68  328.15  -16.48       0.12  0.00  0.00
   61.98  326.06  -21.88       0.12  0.00  0.00
   60.22  331.41  -19.30       0.08  0.00  0.00
   63.94  329.68  -24.23       0.01  0.00  0.00
   68.37  328.65  -28.21       0.10  0.00  0.00
   66.07  333.47  -26.34       0.10  0.00  0.00
   70.79  332.76  -29.84       0.08  0.00  0.00
   87.13  148.98  -34.90       0.14  0.00  0.00
   63.05  331.70  -13.71       0.11  0.00  0.00
   65.82  331.04  -18.32       0.08  0.00  0.00
   69.30  330.89  -22.21       0.08  0.00  0.00
   73.33  331.23  -25.31       0.13  0.00  0.00
   90.00  330.00   30.00       0.11  0.00  0.00
   68.53  333.50  -13.12       0.15  0.00  0.00
   72.61  330.19  -18.25       0.15  0.00  0.00
   87.89  331.47   24.92       0.15  0.00  0.00
