  Wed Oct 25 17:36:24 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_200903262123_p.inp
 200903262123
 Including emergent polarity picks
 Polarities/Errors:  P 042/00  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   61.98  326.06  -21.88       0.00  0.00  0.00
   63.94  329.68  -24.23       0.00  0.00  0.00
   61.12  327.19    8.50       0.00  0.00  0.00
   60.13  325.77    2.88       0.00  0.00  0.00
   60.13  324.23   -2.88       0.00  0.00  0.00
   60.50  328.49   -5.73       0.00  0.00  0.00
   61.98  327.20  -11.17       0.00  0.00  0.00
   64.34  326.31  -16.10       0.00  0.00  0.00
   72.61  329.81   18.25       0.00  0.00  0.00
   66.60  327.88    9.06       0.00  0.00  0.00
   65.10  323.51    2.33       0.00  0.00  0.00
   65.41  329.01    4.63       0.00  0.00  0.00
   65.10  324.49   -2.33       0.00  0.00  0.00
   65.91  325.53   -6.88       0.00  0.00  0.00
   67.48  326.77  -11.15       0.00  0.00  0.00
   69.75  328.31  -14.97       0.00  0.00  0.00
   90.00  324.00   25.00       0.00  0.00  0.00
   85.79  326.92   24.67       0.00  0.00  0.00
   81.69  329.74   23.66       0.00  0.00  0.00
   78.69  326.66   16.60       0.00  0.00  0.00
   70.32  323.83    3.62       0.00  0.00  0.00
   70.71  329.12    5.38       0.00  0.00  0.00
   70.00  327.60   -0.00       0.00  0.00  0.00
   70.71  326.08   -5.38       0.00  0.00  0.00
   71.94  330.01   -8.74       0.00  0.00  0.00
   74.81  329.04  -13.17       0.00  0.00  0.00
   88.29  326.50   19.93       0.00  0.00  0.00
   83.28  326.72   18.88       0.00  0.00  0.00
   81.46  325.93   12.38       0.00  0.00  0.00
   77.76  324.89    8.74       0.00  0.00  0.00
   78.56  329.93    9.77       0.00  0.00  0.00
   75.92  328.54    5.24       0.00  0.00  0.00
   75.00  326.84   -0.00       0.00  0.00  0.00
   75.92  325.14   -5.24       0.00  0.00  0.00
   77.76  328.80   -8.74       0.00  0.00  0.00
   88.71  146.94  -14.95       0.00  0.00  0.00
   86.16  326.54   14.51       0.00  0.00  0.00
   84.28  325.41    8.22       0.00  0.00  0.00
   85.02  330.38    8.68       0.00  0.00  0.00
   81.35  328.07    5.04       0.00  0.00  0.00
   80.00  325.38   -0.00       0.00  0.00  0.00
   80.95  327.74   -4.26       0.00  0.00  0.00
   83.59  330.34   -7.69       0.00  0.00  0.00
   88.27  328.31   -9.85       0.00  0.00  0.00
   86.60  144.34   -9.41       0.00  0.00  0.00
   89.13  327.38    9.96       0.00  0.00  0.00
   87.13  325.10    4.10       0.00  0.00  0.00
   87.50  330.09    4.33       0.00  0.00  0.00
   85.00  330.00   -0.00       0.00  0.00  0.00
   85.02  324.98   -0.44       0.00  0.00  0.00
   87.89  324.92   -4.53       0.00  0.00  0.00
   87.50  329.91   -4.33       0.00  0.00  0.00
   87.13  145.10    4.10       0.00  0.00  0.00
   87.89  144.92   -4.53       0.00  0.00  0.00
   90.00  325.00   -0.00       0.00  0.00  0.00
