Year,MM,DD,HH,MM,Sec,Latitude,Longitude,Depth,stations,RMS,Mc,AzGap,TimeErr,LatErr,LonErr,DepthErr
2008,4,23,01,29,23.7,-28.276,-67.305,112.6,32,0.6,,257,1.57,5.6,5.3,6.0
2008,4,23,10,15,20.2,-27.420,-69.200,101.4,28,0.7,,137,1.99,7.3,9.0,11.6
2008,4,23,14,01,39.0,-27.345,-69.513,98.6,19,0.5,,240,1.39,5.6,9.0,13.2
2008,4,23,17,51,34.2,-27.980,-66.637,160.5,35,0.5,,254,1.28,4.9,5.0,4.6
2008,4,23,20,16,27.9,-28.678,-67.530,102.9,21,0.7,,290,2.06,8.2,8.6,13.1
2008,4,23,22,40,7.7,-28.758,-68.965,99.3,21,0.8,,286,2.22,20.0,9.5,27.9
2008,4,24,05,50,46.1,-26.551,-67.598,9.2,16,0.4,,103,1.06,1.6,1.4,4.1
2008,4,24,21,56,14.4,-28.527,-69.332,103.6,19,1.3,,288,3.64,19.8,15.5,33.6
2008,4,25,09,33,24.4,-28.327,-69.203,89.2,35,0.7,,282,1.81,8.9,6.8,14.7
2008,4,25,21,50,58.7,-28.346,-67.458,112.5,34,0.8,,250,2.09,7.5,6.6,9.2
2008,4,26,19,12,51.6,-27.848,-67.470,22.0,24,0.8,,174,2.26,4.5,3.3,8.9
2008,4,27,01,46,50.2,-28.699,-66.865,20.3,28,1.0,,290,2.65,6.4,7.3,4.1
2008,4,27,12,25,34.7,-28.550,-67.246,30.7,18,0.7,,280,1.89,6.0,4.9,3.6
2008,4,29,22,26,11.2,-27.378,-67.208,132.3,30,0.5,,64,1.33,4.2,3.7,4.7
2008,4,30,16,43,26.8,-27.960,-66.809,149.0,35,0.9,,242,2.42,7.8,10.3,8.6
2008,5,2,08,11,24.3,-26.639,-67.567,5.2,15,0.4,,73,1.24,1.6,1.9,4.4
2008,5,2,15,30,27.1,-26.185,-68.877,105.3,18,0.5,,111,1.38,5.8,4.7,8.9
2008,5,3,07,53,15.3,-27.792,-67.504,123.2,21,0.6,,146,1.65,8.2,5.7,6.6
2008,5,3,08,53,37.5,-27.983,-69.463,95.9,24,0.4,,279,1.16,11.0,10.6,8.1
2008,5,3,11,37,52.5,-25.868,-69.270,102.9,16,0.3,,170,0.74,3.1,4.8,4.7
2008,5,4,09,36,6.0,-27.922,-69.349,97.4,20,0.6,,273,1.68,9.8,10.4,9.4
2008,5,4,14,30,16.9,-28.945,-67.706,91.2,24,0.7,,296,1.88,12.2,10.4,27.2
2008,5,4,18,16,32.7,-27.325,-66.601,0.0,24,0.4,,121,1.23,2.5,6.8,89.5
2008,5,5,04,00,54.7,-27.569,-67.119,18.2,17,0.8,,135,2.30,4.7,3.4,8.8
2008,5,6,11,55,37.4,-27.599,-69.124,107.3,25,0.7,,209,1.92,10.9,12.6,15.6
2008,5,7,03,57,31.1,-28.038,-69.160,96.5,22,0.8,,266,2.10,13.8,12.5,16.0
2008,5,7,04,45,5.4,-27.571,-67.382,129.3,21,0.4,,118,1.11,4.7,5.1,5.0
2008,5,11,17,19,33.6,-28.890,-66.901,16.9,16,1.4,,298,3.91,14.8,15.7,13.2
2008,5,12,04,21,3.0,-27.772,-68.710,100.8,19,0.6,,202,1.73,7.3,6.6,9.0
2008,5,12,08,18,35.0,-28.147,-69.147,91.1,19,0.5,,272,1.39,14.8,12.5,10.4
2008,5,14,17,34,52.0,-28.232,-67.427,109.1,30,0.4,,243,1.21,6.1,4.0,5.6
2008,5,16,00,48,10.8,-28.148,-67.195,126.4,23,0.3,,256,0.93,5.5,4.7,3.7
2008,5,16,18,22,48.3,-28.503,-67.529,109.8,20,0.6,,259,1.67,7.3,6.3,9.1
2008,5,16,20,51,59.8,-28.517,-66.926,122.1,31,0.5,,280,1.35,6.6,5.6,7.0
2008,5,18,08,39,9.2,-28.295,-68.448,101.0,33,0.7,,249,1.93,8.5,6.3,9.5
2008,5,19,20,41,53.7,-28.356,-67.267,33.9,16,0.7,,292,1.88,6.9,7.1,5.2
2008,6,3,05,18,46.2,-26.626,-67.627,6.8,19,0.5,,74,1.31,1.8,1.7,5.0
2008,6,3,23,05,22.5,-27.344,-68.665,109.0,29,0.6,,120,1.77,5.4,5.5,6.7
2008,6,4,03,00,35.4,-26.848,-65.701,18.8,16,0.5,,279,1.49,4.2,5.1,5.7
2008,6,6,16,45,39.2,-26.115,-69.142,113.2,16,0.9,,104,2.35,7.1,8.6,10.3
2008,6,9,00,50,23.3,-27.821,-67.508,23.1,22,1.1,,191,3.15,7.7,5.2,20.5
2008,6,11,20,35,17.3,-25.553,-66.410,224.4,17,0.7,,266,1.85,12.4,12.2,10.8
2008,6,18,10,34,7.5,-27.591,-69.368,109.2,25,0.8,,256,2.15,7.5,8.6,9.9
2008,6,18,12,56,18.1,-27.678,-68.985,92.9,28,0.7,,207,1.99,9.0,9.6,10.8
2008,6,19,16,04,36.3,-27.264,-66.644,0.0,15,0.6,,147,1.62,4.4,5.2,69.2
2008,6,20,08,08,14.9,-27.232,-66.602,2.6,32,0.7,,131,1.93,3.5,4.5,34.3
2008,6,21,00,56,59.6,-27.907,-66.625,153.9,18,0.7,,248,1.90,12.3,9.5,9.0
2008,6,21,01,25,19.3,-27.220,-66.624,0.0,25,0.8,,130,2.28,3.9,5.7,92.6
2008,6,21,12,40,55.1,-26.025,-67.793,0.0,19,0.6,,178,1.62,5.6,5.2,33.8
2008,6,22,02,50,31.9,-27.948,-67.448,126.7,19,0.7,,228,1.78,8.2,9.4,7.7
2008,6,23,04,27,45.4,-27.693,-67.516,129.2,32,0.8,,168,2.25,10.8,7.3,9.8
2008,6,25,00,27,1.8,-28.808,-67.306,87.0,19,0.8,,294,2.11,9.5,9.1,36.5
2008,6,28,06,08,47.5,-28.316,-68.796,102.1,26,1.0,,278,2.66,21.2,11.3,21.5
2008,7,3,05,18,31.9,-26.183,-69.504,86.0,16,0.5,,195,1.31,5.0,10.4,6.3
2008,7,7,04,10,3.9,-28.310,-69.580,90.1,35,0.7,,286,1.94,11.2,12.0,19.5
2008,7,7,06,47,1.4,-27.485,-67.618,20.3,16,0.7,,130,1.91,4.4,4.3,14.0
2008,7,9,01,09,21.3,-28.359,-69.210,89.3,36,0.9,,284,2.36,15.6,12.3,21.2
2008,7,11,12,05,22.5,-26.573,-67.652,7.4,15,1.0,,63,2.71,4.9,3.7,15.0
2008,7,12,04,38,35.4,-28.716,-69.825,76.9,18,1.0,,296,2.79,16.0,16.3,23.0
2008,7,14,09,57,17.6,-27.930,-66.636,154.3,33,0.5,,250,1.51,8.0,6.4,5.2
2008,7,14,18,40,3.3,-27.961,-66.543,157.2,40,0.7,,259,2.02,6.5,6.8,6.5
2008,7,16,02,03,16.5,-27.641,-67.320,135.8,38,0.6,,136,1.58,6.1,5.6,4.8
2008,7,16,13,26,38.6,-27.928,-66.711,156.1,35,0.6,,244,1.71,8.2,8.4,7.2
2008,7,19,13,05,53.6,-28.141,-67.279,125.7,25,0.7,,242,1.89,10.1,8.2,7.8
2008,7,19,23,49,42.6,-28.505,-67.273,26.5,23,0.5,,278,1.41,6.9,4.8,5.8
2008,7,22,00,39,44.6,-27.860,-68.095,11.9,18,0.9,,255,2.51,6.0,6.1,9.0
2008,7,22,04,00,39.2,-27.620,-67.351,127.7,16,0.5,,129,1.28,7.3,6.0,6.5
2008,7,22,10,03,56.7,-27.849,-66.934,149.1,35,0.7,,210,1.92,9.0,7.2,6.5
2008,7,23,14,46,47.0,-28.730,-66.556,38.5,18,0.9,,296,2.39,12.2,16.3,6.6
2008,7,24,15,49,47.1,-26.517,-67.526,11.4,15,0.9,,98,2.45,4.6,3.3,8.6
2008,7,24,21,25,11.4,-26.907,-69.986,79.3,20,0.4,,246,1.19,3.7,9.5,4.9
2008,7,24,23,49,25.0,-27.822,-66.727,24.7,19,0.8,,231,2.22,6.4,4.9,10.8
2008,7,27,22,01,23.7,-27.074,-66.170,0.0,28,0.5,,247,1.46,3.2,8.9,66.3
2008,7,28,17,40,28.3,-27.687,-67.788,16.2,32,0.9,,95,2.61,6.1,5.0,16.4
2008,7,30,02,02,35.7,-28.502,-67.562,123.2,19,0.8,,279,2.19,9.5,10.0,10.3
2008,8,1,14,08,17.3,-27.325,-67.314,129.9,25,0.7,,89,1.86,8.2,9.3,9.3
2008,8,1,15,27,14.9,-27.170,-65.727,7.5,16,0.8,,283,2.04,7.1,13.7,78.2
2008,8,2,17,59,52.6,-27.231,-66.611,9.3,19,0.6,,130,1.72,4.2,4.3,15.8
2008,8,3,06,02,46.2,-28.549,-67.496,107.6,36,1.0,,262,2.66,12.6,9.7,15.7
2008,8,3,18,21,31.7,-27.287,-66.525,17.5,19,0.7,,127,1.97,5.7,7.7,12.5
2008,8,5,16,28,31.9,-28.309,-67.418,105.9,16,0.5,,260,1.37,8.2,6.1,9.1
2008,8,6,22,03,0.8,-27.910,-66.687,154.7,15,0.7,,244,1.81,12.6,9.7,9.6
2008,8,10,04,02,54.9,-27.645,-69.097,91.3,15,0.6,,216,1.63,9.0,10.1,13.7
2008,8,11,09,55,55.8,-28.955,-68.753,103.6,15,0.6,,298,1.69,18.8,21.4,35.2
2008,8,14,09,26,15.6,-27.821,-68.823,103.3,15,1.1,,253,2.97,17.7,18.1,21.3
2008,8,15,13,06,26.1,-28.069,-69.519,84.8,21,0.7,,283,1.84,19.5,18.7,15.0
2008,8,18,11,42,52.4,-27.072,-69.158,94.8,17,0.8,,160,2.14,6.6,9.4,11.6
2008,8,21,09,32,57.6,-25.356,-69.007,79.9,37,1.0,,276,2.81,9.4,8.4,9.3
2008,8,21,15,22,29.6,-26.347,-65.216,0.0,18,1.1,,303,2.94,16.5,25.9,27.6
2008,8,23,04,18,1.4,-27.981,-68.686,98.7,16,1.1,,259,3.09,21.4,14.9,22.3
