  Tue Oct 24 14:53:21 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_20090220221_p.inp
 20090220221
 Including emergent polarity picks
 Polarities/Errors:  P 028/03  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   90.00  145.00   90.00       3.00  0.00  0.00
   85.00  325.00  -90.00       3.00  0.00  0.00
   90.00  150.00   90.00       3.00  0.00  0.00
   85.00  330.00  -90.00       3.00  0.00  0.00
   90.00  155.00   90.00       3.00  0.00  0.00
   85.00  335.00  -90.00       3.00  0.00  0.00
   80.00  335.00  -90.00       2.00  0.00  0.00
   90.00  160.00   90.00       3.00  0.00  0.00
   85.00  340.00  -90.00       3.00  0.00  0.00
   80.00  340.00  -90.00       3.00  0.00  0.00
   75.06  186.34  -84.82       3.00  0.00  0.00
   75.06  191.34  -84.82       2.00  0.00  0.00
   75.06  196.34  -84.82       3.00  0.00  0.00
   75.06  201.34  -84.82       3.00  0.00  0.00
   80.04  205.88  -84.92       3.00  0.00  0.00
   11.17  176.30  -63.26       3.00  0.00  0.00
   15.79  173.02  -71.32       3.00  0.00  0.00
   11.17  181.30  -63.26       3.00  0.00  0.00
   15.79  178.02  -71.32       3.00  0.00  0.00
   11.17  186.30  -63.26       3.00  0.00  0.00
   20.59  178.47  -75.65       3.00  0.00  0.00
   15.79  183.02  -71.32       3.00  0.00  0.00
   50.73  188.29  -77.04       3.00  0.00  0.00
   65.41  189.70  -78.99       3.00  0.00  0.00
   60.50  190.80  -78.49       3.00  0.00  0.00
   70.32  193.76  -79.37       3.00  0.00  0.00
   65.41  194.77  -78.99       3.00  0.00  0.00
   70.32  198.83  -79.37       3.00  0.00  0.00
   75.23  202.95  -79.65       2.00  0.00  0.00
   75.23  208.02  -79.65       3.00  0.00  0.00
   80.15  217.25  -79.85       3.00  0.00  0.00
   80.15  222.32  -79.85       3.00  0.00  0.00
   85.08    8.48  -79.96       3.00  0.00  0.00
   85.08   13.55  -79.96       2.00  0.00  0.00
   85.08   18.62  -79.96       3.00  0.00  0.00
   90.00  207.89   80.00       3.00  0.00  0.00
   90.00  212.96   80.00       3.00  0.00  0.00
   17.96  182.52  -55.73       3.00  0.00  0.00
   14.11  194.14  -44.56       3.00  0.00  0.00
   22.27  180.15  -62.73       3.00  0.00  0.00
   17.96  187.59  -55.73       3.00  0.00  0.00
   14.11  199.21  -44.56       3.00  0.00  0.00
   26.81  180.14  -67.35       3.00  0.00  0.00
   22.27  185.22  -62.73       3.00  0.00  0.00
   17.96  192.66  -55.73       3.00  0.00  0.00
   14.11  204.28  -44.56       3.00  0.00  0.00
   26.81  185.21  -67.35       3.00  0.00  0.00
   22.27  190.29  -62.73       3.00  0.00  0.00
   17.96  197.73  -55.73       3.00  0.00  0.00
   14.11  209.35  -44.56       3.00  0.00  0.00
   36.22  183.79  -72.91       3.00  0.00  0.00
   31.47  186.60  -70.57       3.00  0.00  0.00
   26.81  190.28  -67.35       3.00  0.00  0.00
   41.03  186.62  -74.66       3.00  0.00  0.00
   61.12  188.50  -72.81       3.00  0.00  0.00
   56.36  190.27  -71.89       3.00  0.00  0.00
   51.62  192.25  -70.72       3.00  0.00  0.00
   46.92  194.51  -69.25       3.00  0.00  0.00
   65.91  192.02  -73.53       3.00  0.00  0.00
   61.12  193.64  -72.81       3.00  0.00  0.00
   56.36  195.41  -71.89       3.00  0.00  0.00
   51.62  197.40  -70.72       3.00  0.00  0.00
   65.91  197.17  -73.53       3.00  0.00  0.00
   61.12  198.78  -72.81       3.00  0.00  0.00
   70.71  200.81  -74.08       3.00  0.00  0.00
   65.91  202.31  -73.53       3.00  0.00  0.00
   80.34  223.76  -74.78       3.00  0.00  0.00
   24.81   19.99  -51.92       3.00  0.00  0.00
   21.09   28.58  -44.01       3.00  0.00  0.00
   80.34    7.76  -74.78       3.00  0.00  0.00
   80.34   12.90  -74.78       2.00  0.00  0.00
   75.52   14.25  -74.50       3.00  0.00  0.00
   85.17   16.73  -74.95       2.00  0.00  0.00
   80.34   18.04  -74.78       2.00  0.00  0.00
   85.17   21.87  -74.95       2.00  0.00  0.00
   85.17   27.01  -74.95       3.00  0.00  0.00
   85.17   32.15  -74.95       3.00  0.00  0.00
   90.00  216.00   75.00       3.00  0.00  0.00
   90.00  221.14   75.00       2.00  0.00  0.00
   90.00  226.29   75.00       2.00  0.00  0.00
   85.17  230.13   74.95       3.00  0.00  0.00
   17.96  204.88  -32.95       3.00  0.00  0.00
   28.90  183.32  -57.62       3.00  0.00  0.00
   24.81  189.70  -51.92       3.00  0.00  0.00
   21.09  198.29  -44.01       3.00  0.00  0.00
   33.23  183.57  -61.81       3.00  0.00  0.00
   28.90  188.46  -57.62       3.00  0.00  0.00
   24.81  194.85  -51.92       3.00  0.00  0.00
   21.09  203.44  -44.01       3.00  0.00  0.00
   37.70  184.86  -64.96       3.00  0.00  0.00
   33.23  188.72  -61.81       3.00  0.00  0.00
   28.90  193.60  -57.62       3.00  0.00  0.00
   24.81  199.99  -51.92       3.00  0.00  0.00
   42.27  186.86  -67.37       3.00  0.00  0.00
   37.70  190.00  -64.96       3.00  0.00  0.00
   33.23  193.86  -61.81       3.00  0.00  0.00
   28.90  198.75  -57.62       3.00  0.00  0.00
   24.81  205.13  -51.92       3.00  0.00  0.00
   51.62  187.11  -70.72       3.00  0.00  0.00
   46.92  189.37  -69.25       3.00  0.00  0.00
   42.27  192.00  -67.37       3.00  0.00  0.00
   37.70  195.14  -64.96       3.00  0.00  0.00
   57.39  193.47  -66.04       3.00  0.00  0.00
   52.84  196.01  -64.59       3.00  0.00  0.00
   48.36  198.88  -62.76       3.00  0.00  0.00
   43.96  202.18  -60.48       3.00  0.00  0.00
   61.98  196.46  -67.20       3.00  0.00  0.00
   57.39  198.76  -66.04       3.00  0.00  0.00
   52.84  201.31  -64.59       3.00  0.00  0.00
   48.36  204.18  -62.76       3.00  0.00  0.00
   66.60  199.65  -68.12       3.00  0.00  0.00
   61.98  201.76  -67.20       3.00  0.00  0.00
   57.39  204.06  -66.04       3.00  0.00  0.00
   66.60  204.94  -68.12       3.00  0.00  0.00
   80.61  225.80  -69.72       3.00  0.00  0.00
   75.92  227.59  -69.35       3.00  0.00  0.00
   24.81   20.16  -35.42       3.00  0.00  0.00
   22.27   30.96  -25.51       3.00  0.00  0.00
   27.99   16.75  -43.22       3.00  0.00  0.00
   24.81   25.45  -35.42       3.00  0.00  0.00
   24.81   30.75  -35.42       3.00  0.00  0.00
   31.61   20.38  -49.26       3.00  0.00  0.00
   27.99   27.34  -43.22       3.00  0.00  0.00
   35.53   20.05  -53.95       3.00  0.00  0.00
   75.92   10.53  -69.35       3.00  0.00  0.00
   75.92   15.82  -69.35       3.00  0.00  0.00
   71.25   17.68  -68.83       3.00  0.00  0.00
   80.61   19.33  -69.72       2.00  0.00  0.00
   75.92   21.12  -69.35       3.00  0.00  0.00
   80.61   24.63  -69.72       3.00  0.00  0.00
   85.30   28.18  -69.93       3.00  0.00  0.00
   85.30   33.48  -69.93       3.00  0.00  0.00
   90.00  217.06   70.00       3.00  0.00  0.00
   90.00  222.35   70.00       2.00  0.00  0.00
