  Thu Oct 19 11:13:06 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_20081204143_p.inp
 20081204143
 Including emergent polarity picks
 Polarities/Errors:  P 054/01  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   87.13  136.39   34.90       1.00  0.00  0.00
   87.50  314.33  -29.91       1.00  0.00  0.00
   87.50  135.67   29.91       1.00  0.00  0.00
   63.05  138.30   13.71       1.00  0.00  0.00
   61.12  137.19    8.50       1.00  0.00  0.00
   83.72  313.65  -24.25       1.00  0.00  0.00
   81.69  318.26  -23.66       1.00  0.00  0.00
   87.89  316.53  -24.92       1.00  0.00  0.00
   85.79  134.92   24.67       1.00  0.00  0.00
   87.89  139.47   24.92       1.00  0.00  0.00
   81.69  137.74   23.66       1.00  0.00  0.00
   77.80  140.38   21.99       1.00  0.00  0.00
   72.61  137.81   18.25       1.00  0.00  0.00
   69.75  139.69   14.97       1.00  0.00  0.00
   83.28  314.08  -18.88       1.00  0.00  0.00
   88.29  314.30  -19.93       1.00  0.00  0.00
   86.60  319.01  -19.72       1.00  0.00  0.00
   86.60  134.59   19.72       1.00  0.00  0.00
   88.29  139.30   19.93       1.00  0.00  0.00
   81.69  134.74   18.26       1.00  0.00  0.00
   83.28  139.52   18.88       1.00  0.00  0.00
   78.69  139.46   16.60       1.00  0.00  0.00
   74.81  138.96   13.17       1.00  0.00  0.00
   84.92  313.05  -14.13       1.00  0.00  0.00
   90.00  132.63   15.00       1.00  0.00  0.00
   88.71  317.46  -14.95       1.00  0.00  0.00
   86.16  137.07   14.51       1.00  0.00  0.00
   81.46  136.45   12.38       1.00  0.00  0.00
   77.76  135.41    8.74       1.00  0.00  0.00
   89.13  133.54    9.96       1.00  0.00  0.00
