  Wed Oct 18 15:41:32 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_20081018105_p.inp
 20081018105
 Including emergent polarity picks
 Polarities/Errors:  P 041/01  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   75.52  317.68  -74.50       1.00  0.00  0.00
   25.46  330.30  -10.59       1.00  0.00  0.00
   30.00  333.87   -0.00       1.00  0.00  0.00
   30.38  329.75   -8.58       1.00  0.00  0.00
   31.47  326.06  -16.74       1.00  0.00  0.00
   38.29  308.29  -36.20       1.00  0.00  0.00
   41.41  307.99  -40.89       1.00  0.00  0.00
   68.53  315.06  -57.50       1.00  0.00  0.00
   35.31  328.45   -7.10       1.00  0.00  0.00
   36.22  326.13  -13.93       1.00  0.00  0.00
   37.70  324.28  -20.29       1.00  0.00  0.00
   44.81  310.24  -35.53       1.00  0.00  0.00
   47.85  310.85  -39.32       1.00  0.00  0.00
   58.23  315.53  -47.57       1.00  0.00  0.00
   41.03  326.66  -11.69       1.00  0.00  0.00
   43.96  319.03  -22.18       1.00  0.00  0.00
   42.27  325.92  -17.14       1.00  0.00  0.00
   46.03  319.13  -26.73       1.00  0.00  0.00
   51.13  314.19  -34.36       1.00  0.00  0.00
   48.44  319.71  -30.79       1.00  0.00  0.00
   63.94  315.50  -44.31       1.00  0.00  0.00
   45.86  326.59   -9.85       1.00  0.00  0.00
   46.92  326.89  -14.51       1.00  0.00  0.00
   50.14  321.30  -22.91       1.00  0.00  0.00
   52.24  322.53  -26.57       1.00  0.00  0.00
   57.20  318.94  -32.73       1.00  0.00  0.00
   54.60  324.10  -29.84       1.00  0.00  0.00
   62.97  316.56  -37.45       1.00  0.00  0.00
   60.00  321.15  -35.26       1.00  0.00  0.00
   54.37  324.76  -19.53       1.00  0.00  0.00
   77.30  140.80  -38.26       1.00  0.00  0.00
   78.69  143.92  -33.34       1.00  0.00  0.00
   73.33  141.23  -25.31       1.00  0.00  0.00
   77.80  141.99  -27.62       1.00  0.00  0.00
   82.56  143.06  -29.15       1.00  0.00  0.00
