  Thu Oct 19 10:35:51 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_20080619164_p.inp
 20080619164
 Including emergent polarity picks
 Polarities/Errors:  P 040/00  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   66.60  144.47   68.12       0.00  0.00  0.00
   67.48  143.93   62.77       0.00  0.00  0.00
   58.68  144.13   60.35       0.00  0.00  0.00
   81.35  145.93   59.62       0.00  0.00  0.00
   56.17  145.63   53.00       0.00  0.00  0.00
   48.44  143.40   48.07       0.00  0.00  0.00
   44.81  144.47   44.81       0.00  0.00  0.00
   41.41  144.91   40.89       0.00  0.00  0.00
   38.29  144.62   36.20       0.00  0.00  0.00
   35.53  143.47   30.64       0.00  0.00  0.00
   58.23  145.15   47.57       0.00  0.00  0.00
   47.85  143.73   39.32       0.00  0.00  0.00
   44.81  144.34   35.53       0.00  0.00  0.00
   42.06  144.36   31.11       0.00  0.00  0.00
   39.67  143.75   26.03       0.00  0.00  0.00
   57.20  143.99   40.12       0.00  0.00  0.00
   62.97  145.79   37.45       0.00  0.00  0.00
   57.20  143.41   32.73       0.00  0.00  0.00
