0 	        Ratio vp/vs  
-5.00  5.72	3.18
0.00  5.85	3.47
3.00  5.93	3.47
6.00  5.93	3.49
9.00  5.95	3.51
12.00  5.95	3.51
15.00  6.04	3.53
20.00  6.04	3.53
25.00  6.14	3.54
30.00  6.14	3.54
35.00  6.14	3.54
40.00  6.14	3.54
45.00  6.14	4.10
50.00  7.39	4.11
58.00  8.07	4.58
