  Mon Oct 23 13:19:21 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_20081008155_p.inp
 20081008155
 Including emergent polarity picks
 Polarities/Errors:  P 036/00  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   28.90  156.11   57.62       0.00  0.00  0.00
   33.23  161.00   61.81       0.00  0.00  0.00
   24.81  154.87   51.92       0.00  0.00  0.00
   43.96  152.53   60.48       0.00  0.00  0.00
   39.67  153.97   57.60       0.00  0.00  0.00
   35.53  154.65   53.95       0.00  0.00  0.00
   31.61  154.33   49.26       0.00  0.00  0.00
   27.99  152.66   43.22       0.00  0.00  0.00
   31.61  159.62   49.26       0.00  0.00  0.00
   27.99  157.96   43.22       0.00  0.00  0.00
   38.29  152.10   47.00       0.00  0.00  0.00
   34.78  151.66   42.19       0.00  0.00  0.00
   38.29  157.64   47.00       0.00  0.00  0.00
