2008 2 6 15 16 59.240 -26.867869 -67.363501 8.895 0.036	72.951 63.682 308.85
2008 2 6 15 43 51.250 -26.415936 -67.503772 2.85 0.038	400.217 243.135 871.63
2008 2 6 21 3 15.160 -26.869338 -67.364604 9.29 0.040	111.883 64.036 230.41
2008 2 7 6 58 8.010 -26.570239 -67.133020 6.642 0.039	50.918 70.214 183.805
2008 2 9 13 38 37.730 -26.855933 -67.375444 8.821 0.038	171.904 73.776 422.555
2008 2 9 17 36 54.100 -26.613593 -67.669214 3.271 0.040	85.066 42.765 275.945
2008 2 10 15 2 43.070 -27.003375 -67.136393 7.591 0.043	131.966 152.889 1697.625
2008 2 12 2 11 5.180 -26.447361 -67.180977 7.742 0.033	122.45 188.275 499.03
2008 2 12 2 18 5.600 -26.448069 -67.182699 8.137 0.033	64.026 80.954 220.37
2008 2 12 9 57 24.090 -26.448824 -67.184566 8.51 0.037	56.565 103.115 163.4
2008 2 14 5 58 51.510 -26.447557 -67.181246 7.496 0.032	106.921 216.841 376.785
2008 2 15 7 30 27.240 -26.519307 -67.376526 11.447 0.041	178.128 164.907 220.22
2008 2 17 11 52 53.070 -26.694611 -67.614620 4.08 0.039	131.615 73.779 135.11
2008 2 17 18 28 52.600 -25.837081 -67.323694 5.83 0.032	84.287 113.8 130.915
2008 2 18 22 48 46.240 -26.909629 -67.364164 9.713 0.040	69.725 102.31 276.635
2008 2 19 10 41 48.110 -26.910132 -67.363143 9.812 0.037	60.949 111.291 759.05
2008 2 19 14 13 6.620 -26.409674 -67.427376 11.076 0.048	93.696 101.373 147.555
2008 2 19 14 54 4.490 -26.410197 -67.428426 10.841 0.050	82.814 128.207 157.69
2008 2 19 18 50 26.600 -26.909141 -67.364262 9.419 0.041	101.853 103.027 186.025
2008 2 20 3 20 43.050 -26.755811 -66.922786 7.02 0.046	187.184 246.451 277.285
2008 2 20 13 43 16.750 -26.602191 -67.707682 4.251 0.033	115.608 116.107 229.985
2008 2 21 2 13 55.790 -26.889119 -66.961462 5.433 0.038	127.969 135.676 551.95
2008 2 21 4 25 23.510 -26.601554 -67.706824 4.133 0.036	104.838 82.474 243.47
2008 2 21 5 30 54.290 -25.724644 -67.122668 7.118 0.043	120.919 103.395 307.155
2008 2 21 18 33 59.400 -27.076833 -67.049178 1.466 0.044	71.911 88.23 317.625
2008 2 22 7 6 52.680 -26.711552 -67.630050 3.045 0.047	142.595 81.867 211.575
2008 2 23 10 7 19.060 -25.965291 -66.992936 4.09 0.047	122.602 117.935 593.085
2008 2 23 10 16 50.470 -25.964791 -66.992940 3.911 0.042	141.64 106.82 491.315
2008 2 24 0 18 35.320 -26.910455 -67.364771 10.301 0.043	76.096 102.237 269.39
2008 2 24 22 55 31.580 -26.507664 -67.310555 7.31 0.043	90.883 95.969 135.76
2008 2 25 22 10 30.840 -26.503031 -67.295133 3.779 0.035	63.897 95.56 161.75
2008 2 25 23 59 31.680 -26.503094 -67.294751 3.986 0.034	42.843 54.722 128.865
2008 2 26 5 50 34.880 -26.502568 -67.294686 4.126 0.034	42.188 40.991 117.87
2008 2 26 6 0 21.940 -26.502006 -67.289559 3.546 0.032	96.692 189.419 343.265
2008 2 26 8 44 32.610 -26.501497 -67.292973 3.79 0.029	51.749 69.921 161.3
2008 2 26 8 46 17.900 -26.502553 -67.293522 3.959 0.030	51.075 61.294 150.28
2008 2 26 8 47 36.310 -26.502275 -67.293140 3.827 0.034	37.688 55.66 138.43
2008 2 26 8 48 10.520 -26.501796 -67.292065 3.605 0.033	47.424 116.327 212.905
2008 2 26 8 51 5.330 -26.502745 -67.293494 4.082 0.034	40.601 56.202 120.68
2008 2 26 8 56 14.780 -26.502065 -67.294377 3.768 0.035	67.508 121.061 151.08
2008 2 26 9 1 56.520 -26.502443 -67.293876 4.024 0.036	36.941 53.474 135.14
2008 2 26 9 8 13.120 -26.502346 -67.293042 3.849 0.034	40.253 50.167 121.995
2008 2 26 9 9 39.220 -26.502138 -67.292786 3.757 0.028	64.601 74.381 168.23
2008 2 26 9 18 55.670 -26.502051 -67.292643 3.755 0.033	51.126 62.362 110.39
2008 2 26 9 23 50.150 -26.502136 -67.292546 3.965 0.034	39.752 74.706 151.62
2008 2 26 11 53 58.810 -26.502041 -67.293237 3.833 0.026	55.992 89.414 164.23
2008 2 26 13 10 55.330 -26.501902 -67.293481 3.921 0.031	62.144 69.643 157.69
2008 2 26 21 23 43.520 -26.503072 -67.293762 4.017 0.031	68.978 101.598 180.065
2008 2 26 21 50 23.480 -26.695487 -67.617350 3.843 0.040	92.764 63.975 130.22
2008 2 27 2 48 53.910 -26.500863 -67.290564 3.838 0.028	65.135 71.717 164.97
2008 2 27 7 54 46.880 -26.501571 -67.292318 3.952 0.035	40.918 72.878 150.05
2008 2 27 7 58 2.470 -26.502238 -67.292472 3.769 0.028	53.21 94.351 166.94
2008 2 27 8 5 29.510 -26.501868 -67.292167 3.77 0.034	43.133 67.845 149.525
2008 2 27 13 19 27.880 -26.852863 -67.230371 10.768 0.027	399.11 245.153 741.65
2008 2 28 19 11 42.680 -26.778418 -67.039026 8.983 0.038	54.601 47.414 103.795
2008 2 28 19 29 35.240 -26.527006 -67.548983 8.891 0.048	99.122 138.06 235.005
2008 2 28 20 5 8.560 -26.778792 -67.039095 8.934 0.038	90.705 51.053 112.64
2008 2 28 20 14 21.400 -26.777722 -67.037797 8.861 0.040	78.512 69.104 192.475
