  Wed Oct 25 15:17:38 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_200801251313_p.inp
 200801251313
 Including emergent polarity picks
 Polarities/Errors:  P 029/00  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   10.00  310.56   -0.00       0.00  0.00  0.00
   15.00  311.14   -0.00       0.00  0.00  0.00
   90.00  303.43   75.00       0.00  0.00  0.00
   85.30  112.89  -69.93       0.00  0.00  0.00
   25.00  308.77   -0.00       0.00  0.00  0.00
   25.46  302.61  -10.59       0.00  0.00  0.00
   76.43  291.69  -64.23       0.00  0.00  0.00
   26.81  114.43  -20.42       0.00  0.00  0.00
   85.47  115.66  -64.92       0.00  0.00  0.00
   31.47  297.03  -16.74       0.00  0.00  0.00
   77.05  292.15  -59.13       0.00  0.00  0.00
   81.35  301.17  -59.62       0.00  0.00  0.00
   33.23  108.26  -24.15       0.00  0.00  0.00
   31.47  117.03  -16.74       0.00  0.00  0.00
   85.67  118.63  -59.91       0.00  0.00  0.00
   35.31  304.04   -7.10       0.00  0.00  0.00
   36.22  301.73  -13.93       0.00  0.00  0.00
   73.73  295.52  -53.31       0.00  0.00  0.00
   77.76  298.57  -54.06       0.00  0.00  0.00
   81.82  301.71  -54.59       0.00  0.00  0.00
   36.22  118.67  -13.93       0.00  0.00  0.00
   39.67  109.47  -26.03       0.00  0.00  0.00
   85.91  121.86  -54.90       0.00  0.00  0.00
   41.03  300.48  -11.69       0.00  0.00  0.00
   42.27  299.73  -17.14       0.00  0.00  0.00
   67.48  292.00  -45.90       0.00  0.00  0.00
   71.11  294.87  -47.21       0.00  0.00  0.00
   74.81  297.90  -48.24       0.00  0.00  0.00
   78.56  301.05  -49.02       0.00  0.00  0.00
   82.36  304.28  -49.57       0.00  0.00  0.00
   42.27  116.46  -17.14       0.00  0.00  0.00
   46.03  109.68  -26.73       0.00  0.00  0.00
   43.96  116.12  -22.18       0.00  0.00  0.00
   48.44  110.25  -30.79       0.00  0.00  0.00
   71.11  111.59  -47.21       0.00  0.00  0.00
   82.36  121.01  -49.57       0.00  0.00  0.00
   45.22  305.30   -4.98       0.00  0.00  0.00
   45.86  305.41   -9.85       0.00  0.00  0.00
   48.36  299.23  -18.88       0.00  0.00  0.00
   52.24  294.30  -26.57       0.00  0.00  0.00
   54.60  295.87  -29.84       0.00  0.00  0.00
   60.00  292.91  -35.26       0.00  0.00  0.00
   62.97  295.39  -37.45       0.00  0.00  0.00
   69.30  293.97  -40.89       0.00  0.00  0.00
   72.61  297.07  -42.19       0.00  0.00  0.00
   76.00  300.32  -43.22       0.00  0.00  0.00
   79.45  303.67  -44.01       0.00  0.00  0.00
   45.86  121.88   -9.85       0.00  0.00  0.00
   48.36  115.70  -18.88       0.00  0.00  0.00
   52.24  110.77  -26.57       0.00  0.00  0.00
   50.14  116.60  -22.91       0.00  0.00  0.00
   54.60  112.34  -29.84       0.00  0.00  0.00
   60.00  109.38  -35.26       0.00  0.00  0.00
   62.97  111.86  -37.45       0.00  0.00  0.00
   69.30  110.44  -40.89       0.00  0.00  0.00
   72.61  113.54  -42.19       0.00  0.00  0.00
   76.00  116.79  -43.22       0.00  0.00  0.00
   79.45  120.14  -44.01       0.00  0.00  0.00
   82.95  123.58  -44.56       0.00  0.00  0.00
   50.73  303.99   -8.29       0.00  0.00  0.00
   52.84  299.37  -16.01       0.00  0.00  0.00
   51.62  305.50  -12.25       0.00  0.00  0.00
   54.37  301.28  -19.53       0.00  0.00  0.00
   58.23  298.01  -25.70       0.00  0.00  0.00
   62.97  295.71  -30.68       0.00  0.00  0.00
   65.60  298.82  -32.73       0.00  0.00  0.00
   71.25  297.77  -36.01       0.00  0.00  0.00
   74.24  301.40  -37.25       0.00  0.00  0.00
   52.84  119.37  -16.01       0.00  0.00  0.00
   56.17  115.60  -22.76       0.00  0.00  0.00
   60.50  112.83  -28.34       0.00  0.00  0.00
   58.23  118.01  -25.70       0.00  0.00  0.00
   62.97  115.71  -30.68       0.00  0.00  0.00
   68.37  114.30  -34.50       0.00  0.00  0.00
   71.25  117.77  -36.01       0.00  0.00  0.00
   77.30  117.32  -38.26       0.00  0.00  0.00
   80.42  121.16  -39.03       0.00  0.00  0.00
   56.36  304.57  -10.27       0.00  0.00  0.00
   58.68  301.81  -16.48       0.00  0.00  0.00
   61.98  299.72  -21.88       0.00  0.00  0.00
   66.07  298.35  -26.34       0.00  0.00  0.00
   68.37  302.31  -28.21       0.00  0.00  0.00
   73.33  301.90  -31.23       0.00  0.00  0.00
   60.22  120.68  -19.30       0.00  0.00  0.00
   63.94  118.95  -24.23       0.00  0.00  0.00
   68.37  117.92  -28.21       0.00  0.00  0.00
   73.33  117.51  -31.23       0.00  0.00  0.00
   75.97  121.88  -32.40       0.00  0.00  0.00
   81.46  122.14  -34.07       0.00  0.00  0.00
   63.05  121.70  -13.71       0.00  0.00  0.00
   65.82  121.04  -18.32       0.00  0.00  0.00
   69.30  120.89  -22.21       0.00  0.00  0.00
   73.33  121.23  -25.31       0.00  0.00  0.00
   77.80  121.99  -27.62       0.00  0.00  0.00
   69.75  304.31  -14.97       0.00  0.00  0.00
   77.80  123.62  -21.99       0.00  0.00  0.00
