  Mon Oct 23 14:38:56 2023 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file puna_200807180754_p.inp
 200807180754
 Including emergent polarity picks
 Polarities/Errors:  P 036/01  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   20.59  128.59  -13.47       1.00  0.00  0.00
   25.46  130.92  -10.59       1.00  0.00  0.00
   85.67  310.25  -59.91       1.00  0.00  0.00
   30.38  132.33   -8.58       1.00  0.00  0.00
   81.82  307.81  -54.59       1.00  0.00  0.00
   35.31  133.19   -7.10       0.00  0.00  0.00
   36.22  130.88  -13.93       1.00  0.00  0.00
   77.76  127.72  -54.06       1.00  0.00  0.00
   78.56  307.59  -49.02       1.00  0.00  0.00
   82.36  310.83  -49.57       1.00  0.00  0.00
   41.03  130.30  -11.69       1.00  0.00  0.00
   42.27  129.55  -17.14       1.00  0.00  0.00
   74.81  127.71  -48.24       1.00  0.00  0.00
   78.56  130.86  -49.02       1.00  0.00  0.00
   76.00  307.37  -43.22       1.00  0.00  0.00
   82.95  307.11  -44.56       1.00  0.00  0.00
   79.45  310.73  -44.01       1.00  0.00  0.00
   86.47  310.60  -44.89       1.00  0.00  0.00
   46.92  129.25  -14.51       1.00  0.00  0.00
   48.36  129.82  -18.88       1.00  0.00  0.00
   72.61  127.66  -42.19       1.00  0.00  0.00
   76.00  130.90  -43.22       1.00  0.00  0.00
   54.37  309.11  -19.53       1.00  0.00  0.00
   74.24  309.22  -37.25       1.00  0.00  0.00
   80.42  308.99  -39.03       1.00  0.00  0.00
   50.73  131.82   -8.29       1.00  0.00  0.00
   54.37  129.11  -19.53       1.00  0.00  0.00
   58.23  125.83  -25.70       1.00  0.00  0.00
   60.50  128.48  -28.34       1.00  0.00  0.00
   65.60  126.65  -32.73       1.00  0.00  0.00
   74.24  129.22  -37.25       1.00  0.00  0.00
   61.98  308.50  -21.88       1.00  0.00  0.00
   78.69  310.75  -33.34       1.00  0.00  0.00
   57.39  131.90  -13.47       1.00  0.00  0.00
   60.22  129.46  -19.30       1.00  0.00  0.00
   63.94  127.73  -24.23       1.00  0.00  0.00
   66.07  131.52  -26.34       1.00  0.00  0.00
   70.79  130.81  -29.84       1.00  0.00  0.00
   63.05  131.70  -13.71       1.00  0.00  0.00
   65.82  131.04  -18.32       1.00  0.00  0.00
   69.30  130.89  -22.21       1.00  0.00  0.00
   73.33  131.23  -25.31       1.00  0.00  0.00
