-67.2805 	 -26.5914 	 13.64 	 36
	 1 	 71   20.28
	 2 	 69   31.42
	 2 	 67   25.82
	 2 	 66   21.08
	 1 	 66   12.92
	 2 	 20   10.83
	 1 	 20   6.53
	 2 	 21   7.46
	 1 	 21   4.70
	 1 	 19   9.02
	 2 	 22   19.23
	 1 	 22   11.52
	 2 	 23   21.11
	 1 	 23   13.02
	 2 	 24   23.58
	 1 	 24   14.38
	 1 	 25   16.09
	 1 	 27   19.37
	 1 	 74   16.08
	 2 	 74   26.59
	 2 	 12   29.15
	 1 	 13   20.57
	 2 	 16   47.23
	 2 	 15   44.38
	 1 	 15   26.77
	 1 	 14   22.74
	 1 	 9   8.64
	 2 	 9   14.08
	 1 	 10   10.62
	 2 	 10   17.51
	 1 	 8   6.42
	 2 	 8   10.60
	 2 	 40   39.82
	 1 	 40   23.64
	 2 	 38   20.46
	 1 	 38   12.12
-66.1851 	 -26.7383 	 24.23 	 40
	 1 	 40   19.23
	 2 	 40   32.21
	 1 	 12   5.13
	 2 	 12   8.41
	 2 	 39   38.09
	 2 	 72   52.03
	 2 	 71   50.01
	 2 	 38   26.61
	 1 	 38   15.93
	 2 	 67   48.33
	 1 	 10   11.20
	 2 	 10   18.57
	 2 	 66   45.23
	 1 	 66   27.05
	 1 	 9   12.06
	 2 	 9   19.93
	 1 	 8   14.93
	 2 	 8   24.87
	 1 	 21   20.91
	 2 	 20   37.29
	 1 	 20   22.38
	 1 	 19   24.11
	 1 	 22   25.39
	 2 	 22   42.09
	 1 	 23   25.70
	 2 	 23   42.40
	 1 	 25   26.58
	 2 	 27   48.18
	 1 	 74   21.66
	 2 	 74   36.25
	 1 	 17   16.02
	 2 	 17   27.66
	 1 	 16   10.49
	 2 	 16   17.51
	 1 	 15   9.04
	 2 	 15   15.05
	 1 	 14   6.35
	 2 	 14   10.60
	 1 	 13   5.27
	 2 	 13   8.69
-66.778 	 -25.9514 	 -0.83 	 35
	 1 	 10   17.46
	 2 	 10   29.27
	 1 	 9   15.47
	 2 	 9   25.75
	 1 	 38   22.78
	 2 	 38   38.16
	 1 	 8   15.88
	 1 	 21   13.25
	 2 	 21   21.99
	 1 	 20   12.84
	 1 	 19   12.74
	 1 	 18   12.08
	 2 	 18   20.14
	 1 	 22   11.47
	 2 	 22   19.18
	 1 	 23   10.59
	 2 	 23   17.49
	 1 	 24   9.40
	 2 	 24   15.71
	 1 	 74   3.74
	 2 	 74   6.36
	 1 	 25   9.56
	 2 	 25   15.89
	 1 	 27   10.78
	 2 	 27   17.70
	 1 	 28   11.28
	 2 	 28   18.60
	 1 	 29   13.01
	 2 	 16   45.54
	 2 	 15   42.99
	 2 	 14   37.86
	 1 	 13   20.85
	 2 	 13   35.12
	 1 	 12   18.17
	 2 	 12   30.44
-66.4141 	 -26.4465 	 3.28 	 51
	 1 	 40   23.19
	 2 	 40   39.43
	 1 	 39   24.33
	 2 	 39   43.63
	 1 	 73   34.49
	 2 	 73   58.67
	 1 	 38   16.15
	 2 	 38   27.13
	 1 	 10   10.11
	 2 	 10   16.98
	 1 	 71   30.35
	 2 	 71   51.01
	 2 	 69   49.75
	 2 	 9   15.83
	 1 	 9   9.43
	 2 	 68   49.73
	 1 	 66   25.57
	 2 	 66   42.59
	 1 	 8   11.94
	 2 	 8   19.93
	 1 	 21   15.99
	 2 	 21   26.59
	 1 	 20   17.05
	 2 	 20   28.32
	 1 	 19   18.42
	 2 	 19   30.84
	 1 	 18   19.11
	 2 	 18   32.32
	 1 	 22   19.20
	 2 	 22   32.00
	 1 	 23   19.38
	 2 	 23   32.01
	 1 	 24   19.16
	 1 	 25   19.86
	 2 	 25   33.52
	 1 	 27   21.75
	 2 	 27   36.85
	 1 	 74   14.83
	 2 	 74   25.04
	 1 	 28   22.39
	 2 	 29   40.72
	 2 	 16   26.68
	 1 	 16   15.86
	 2 	 15   24.28
	 1 	 15   14.33
	 2 	 14   18.76
	 1 	 14   11.27
	 2 	 13   16.11
	 1 	 13   9.14
	 2 	 12   11.68
	 1 	 12   7.11
-67.3258 	 -25.8471 	 7.0 	 18
	 1 	 21   11.03
	 1 	 19   7.53
	 1 	 18   5.71
	 2 	 18   9.29
	 1 	 22   4.62
	 2 	 22   7.45
	 1 	 23   2.79
	 2 	 23   4.35
	 1 	 24   2.07
	 2 	 24   3.23
	 1 	 29   8.87
	 2 	 29   15.31
	 1 	 28   6.75
	 2 	 28   11.80
	 1 	 25   2.68
	 2 	 25   4.20
